t,v
1198332821,1780
1198333035,1712
1198333244,1703
1198333454,1795
1198333670,1814
1198333880,1691
1198334092,1748
1198334302,1680
1198334510,1741
1198334729,1735
1198334943,1707
1198335153,1657
1198335361,1776
1198335572,1730
1198335788,1697
1198336003,1797
1198346449,1711
1198346668,1808
1198346876,1770
1198347090,1814
1198347298,1730
1198347508,1685
1198347725,1795
1198347939,1723
1198348148,1814
1198348358,1685
1198348566,1705
1198348784,1759
1198348995,1726
1198349205,1814
1198349413,1727
1198349632,1706
1198360057,1810
1198360267,1695
1198360475,1665
1198360694,1751
1198360902,1712
1198361113,1789
1198361321,1814
1198361531,1697
1198361747,1664
1198361962,1740
1198362170,1791
1198362380,1722
1198362589,1687
1198362807,1808
1198363020,1775
1198373448,1732
1198373664,1687
1198373874,1808
1198374084,1718
1198374294,1762
1198374502,1811
1198374720,1702
1198374934,1671
1198375144,1695
1198375352,1804
1198375562,1722
1198375778,1693
1198375995,1808
1198376203,1808
1198376413,1715
1198376630,1680
1198387039,1815
1198387247,1814
1198387457,1690
1198387673,1667
1198387883,1777
1198388093,1699
1198388303,1802
1198388511,1815
1198388730,1687
1198388943,1725
1198389153,1781
1198389362,1813
1198389572,1698
1198389788,1677
1198390003,1797
1198400442,1790
1198400660,1746
1198400869,1712
1198401080,1808
1198401288,1753
1198401498,1681
1198401715,1719
1198401925,1734
1198402134,1687
1198402344,1808
1198402552,1739
1198402771,1661
1198402984,1777
1198403194,1807
1198403403,1791
1198403621,1683
1198414016,1749
1198414227,1687
1198414435,1698
1198414653,1746
1198414861,1712
1198415072,1772
1198415280,1809
1198415490,1707
1198415706,1675
1198415916,1815
1198416125,1728
1198416335,1730
1198416544,1806
1198416762,1712
1198416976,1681
1198427440,1767
1198427656,1664
1198427866,1830
1198428075,1723
1198428285,1745
1198428493,1810
1198428712,1711
1198428920,1659
1198429130,1786
1198429339,1728
1198429549,1697
1198429765,1797
1198429978,1725
1198430186,1806
1198430397,1721
1198430605,1685
1198440998,1807
1198441206,1810
1198441417,1705
1198441633,1678
1198441843,1789
1198442054,1726
1198442264,1813
1198442473,1728
1198442691,1717
1198442899,1806
1198443110,1712
1198443318,1679
1198443528,1812
1198443744,1733
1198443959,1674
1198454347,1703
1198454558,1722
1198454773,1696
1198454989,1806
1198455197,1755
1198455407,1733
1198455624,1709
1198455834,1783
1198456044,1814
1198456254,1723
1198456463,1807
1198456681,1715
1198456889,1682
1198457103,1702
1198457311,1664
1198457521,1815
1198467976,1731
1198468186,1680
1198468395,1738
1198468605,1734
1198468821,1715
1198469036,1776
1198469244,1679
1198469454,1813
1198469670,1735
1198469880,1669
1198470092,1732
1198470302,1679
1198470510,1798
1198470729,1718
1198470943,1675
1198471153,1733
1198481584,1808
1198481802,1815
1198482012,1728
1198482222,1812
1198482431,1734
1198482649,1674
1198482857,1791
1198483068,1725
1198483276,1685
1198483486,1808
1198483702,1750
1198483912,1680
1198484121,1783
1198484331,1729
1198484539,1697
1198494974,1805
1198495182,1746
1198495392,1679
1198495601,1733
1198495819,1734
1198496029,1712
1198496239,1814
1198496448,1728
1198496666,1713
1198496874,1809
1198497089,1804
1198497297,1815
1198497507,1688
1198497723,1683
1198497939,1759
1198498148,1815
1198508565,1684
1198508781,1679
1198508995,1811
1198509203,1655
1198509413,1813
1198509630,1732
1198509840,1705
1198510054,1799
1198510264,1814
1198510472,1728
1198510691,1712
1198510899,1803
1198511110,1708
1198511318,1675
1198511528,1813
1198521968,1734
1198522179,1658
1198522387,1789
1198522597,1727
1198522813,1699
1198523028,1793
1198523236,1681
1198523446,1754
1198523663,1722
1198523873,1751
1198524083,1746
1198524293,1680
1198524501,1742
1198524719,1733
1198524933,1706
1198525143,1683
1198535543,1698
1198535761,1814
1198535974,1731
1198536184,1731
1198536392,1703
1198536602,1790
1198536818,1813
1198537031,1697
1198537239,1806
1198537449,1713
1198537665,1680
1198537876,1813
1198538089,1799
1198538299,1723
1198538507,1693
1198548967,1808
1198549175,1735
1198549385,1663
1198549593,1790
1198549812,1712
1198550026,1679
1198550236,1713
1198550444,1803
1198550663,1717
1198550871,1677
1198551083,1734
1198551291,1712
1198551501,1772
1198551718,1812
1198551929,1691
1198552137,1786
1198562525,1728
1198562741,1683
1198562956,1810
1198563164,1744
1198563374,1735
1198563582,1712
1198563801,1777
1198564011,1811
1198564222,1760
1198564430,1808
1198564648,1710
1198564856,1657
1198565067,1813
1198565275,1723
1198565486,1744
1198575874,1807
1198576088,1710
1198576297,1675
1198576507,1813
1198576723,1731
1198576940,1679
1198577148,1681
1198577358,1788
1198577567,1725
1198577785,1763
1198577996,1811
1198578206,1691
1198578414,1801
1198578632,1719
1198578841,1677
1198579054,1813
1198589432,1675
1198589651,1734
1198589859,1699
1198590069,1803
1198590278,1757
1198590488,1679
1198590703,1728
1198590913,1820
1198591122,1712
1198591333,1775
1198591541,1813
1198591759,1697
1198591974,1659
1198592184,1795
1198592392,1815
1198602785,1691
1198602996,1682
1198603206,1732
1198603414,1702
1198603633,1801
1198603841,1760
1198604054,1681
1198604262,1792
1198604473,1681
1198604689,1728
1198604899,1734
1198605108,1701
1198605318,1798
1198605526,1815
1198605745,1691
1198605957,1734
1198616344,1718
1198616552,1799
1198616770,1712
1198616985,1683
1198617195,1767
1198617403,1810
1198617622,1702
1198617830,1677
1198618047,1746
1198618255,1793
1198618465,1681
1198618682,1724
1198618892,1733
1198619104,1799
1198619314,1721
1198629693,1687
1198629903,1735
1198630112,1709
1198630322,1791
1198630530,1813
1198630748,1690
1198630960,1707
1198631170,1681
1198631378,1733
1198631588,1732
1198631803,1733
1198632020,1657
1198632228,1658
1198632438,1787
1198632655,1726
1198632865,1746
1198643251,1808
1198643461,1683
1198643678,1710
1198643888,1733
1198644098,1677
1198644308,1813
1198644516,1737
1198644734,1663
1198644945,1792
1198645155,1667
1198645364,1776
1198645574,1729
1198645790,1695
1198646006,1807
1198646214,1747
1198656604,1734
1198656820,1779
1198657036,1731
1198657244,1808
1198657454,1682
1198657670,1735
1198657880,1739
1198658092,1745
1198658302,1734
1198658510,1712
1198658729,1776
1198658943,1813
1198659153,1725
1198659362,1690
1198659572,1808
1198659788,1761
1198670233,1680
1198670441,1817
1198670659,1691
1198670867,1657
1198671078,1734
1198671286,1718
1198671496,1761
1198671713,1808
1198671923,1708
1198672132,1661
1198672342,1814
1198672550,1728
1198672768,1753
1198672979,1808
1198673189,1659
1198673397,1774
1198683840,1729
1198684054,1671
1198684264,1679
1198684472,1794
1198684690,1722
1198684899,1687
1198685110,1814
1198685318,1731
1198685528,1689
1198685745,1797
1198685959,1717
1198686167,1776
1198686378,1680
1198686586,1732
1198686803,1797
1198697227,1728
1198697437,1677
1198697653,1758
1198697864,1732
1198698072,1709
1198698282,1782
1198698490,1815
1198698708,1700
1198698916,1655
1198699127,1746
1198699335,1725
1198699545,1726
1198699761,1804
1198699976,1718
1198700184,1814
1198700394,1683
1198710818,1701
1198711030,1815
1198711239,1685
1198711449,1809
1198711665,1738
1198711875,1673
1198712089,1697
1198712299,1806
1198712507,1822
1198712726,1682
1198712940,1740
1198713151,1811
1198713359,1735
1198713569,1663
1198713785,1792
1198724225,1728
1198724433,1734
1198724652,1674
1198724860,1782
1198725070,1731
1198725279,1696
1198725489,1808
1198725705,1759
1198725915,1680
1198726124,1786
1198726334,1727
1198726543,1693
1198726761,1808
1198726973,1787
1198727183,1815
1198727392,1730
1198737800,1693
1198738011,1674
1198738221,1718
1198738429,1680
1198738648,1810
1198738856,1733
1198739066,1664
1198739275,1804
1198739485,1716
1198739701,1680
1198739911,1808
1198740120,1734
1198740330,1664
1198740538,1763
1198740756,1733
1198751219,1707
1198751430,1773
1198751646,1813
1198751856,1693
1198752065,1677
1198752275,1737
1198752483,1719
1198752702,1765
1198752910,1814
1198753121,1680
1198753329,1743
1198753540,1735
1198753756,1712
1198753973,1774
1198754181,1782
1198754391,1728
1198764778,1699
1198764992,1744
1198765200,1792
1198765411,1724
1198765627,1691
1198765837,1809
1198766047,1735
1198766257,1775
1198766466,1812
1198766684,1704
1198766892,1659
1198767105,1712
1198767313,1679
1198767523,1813
1198767738,1734
1198778131,1689
1198778339,1698
1198778549,1806
1198778765,1767
1198778979,1685
1198779187,1791
1198779397,1685
1198779605,1714
1198779823,1741
1198780036,1719
1198780246,1712
1198780455,1679
1198780672,1813
1198780881,1735
1198781092,1729
1198781300,1808
1198791689,1713
1198791897,1765
1198792108,1728
1198792316,1694
1198792526,1808
1198792743,1759
1198792959,1681
1198793167,1681
1198793378,1810
1198793586,1739
1198793803,1687
1198794018,1697
1198794228,1808
1198794436,1744
1198794654,1679
1198805038,1743
1198805248,1814
1198805457,1729
1198805675,1712
1198805883,1804
1198806094,1690
1198806303,1686
1198806513,1759
1198806729,1723
1198806945,1773
1198807154,1693
1198807364,1743
1198807572,1722
1198807790,1749
1198808004,1808
1198808214,1811
1198818597,1733
1198818813,1731
1198819026,1703
1198819236,1706
1198819444,1678
1198819663,1815
1198819871,1727
1198820083,1807
1198820291,1746
1198820502,1679
1198820717,1754
1198820929,1735
1198821137,1685
1198821347,1810
1198821556,1735
1198831953,1679
1198832161,1746
1198832371,1678
1198832579,1755
1198832798,1735
1198833009,1708
1198833220,1726
1198833428,1689
1198833647,1808
1198833855,1735
1198834065,1655
1198834274,1794
1198834484,1722
1198834700,1687
1198834911,1812
1198835119,1732
1198845508,1687
1198845724,1747
1198845939,1676
1198846148,1712
1198846358,1775
1198846566,1813
1198846784,1712
1198846994,1678
1198847205,1722
1198847413,1685
1198847631,1809
1198847840,1733
1198848054,1659
1198848262,1717
1198848472,1763
1198848689,1811
1198859116,1706
1198859324,1699
1198859534,1738
1198859750,1718
1198859963,1743
1198860171,1731
1198860381,1701
1198860590,1807
1198860807,1733
1198861020,1712
1198861230,1697
1198861438,1659
1198861657,1761
1198861865,1727
1198862075,1741
1198872486,1808
1198872704,1667
1198872912,1787
1198873123,1720
1198873331,1681
1198873541,1810
1198873757,1741
1198873972,1680
1198874181,1710
1198874391,1789
1198874599,1813
1198874818,1681
1198875028,1719
1198875238,1701
1198875447,1667
1198875665,1813
1198886093,1727
1198886304,1734
1198886512,1707
1198886730,1782
1198886943,1813
1198887153,1765
1198887361,1728
1198887571,1699
1198887788,1798
1198888003,1728
1198888211,1739
1198888421,1675
1198888637,1757
1198888847,1738
1198889059,1714
1198899484,1729
1198899700,1731
1198899911,1680
1198900119,1808
1198900330,1711
1198900538,1677
1198900756,1813
1198900970,1731
1198901181,1700
1198901389,1655
1198901599,1814
1198901816,1717
1198902028,1753
1198902237,1731
1198902447,1709
1198902664,1807
1198913075,1708
1198913283,1744
1198913494,1732
1198913710,1709
1198913920,1787
1198914129,1813
1198914339,1679
1198914547,1735
1198914765,1731
1198914976,1717
1198915187,1735
1198915395,1715
1198915605,1757
1198915821,1806
1198916036,1712
1198926478,1759
1198926697,1776
1198926905,1738
1198927116,1655
1198927324,1783
1198927534,1727
1198927750,1693
1198927963,1805
1198928171,1707
1198928382,1789
1198928590,1814
1198928807,1717
1198929020,1683
1198929230,1673
1198929439,1776
1198929657,1730
1198940053,1706
1198940263,1729
1198940471,1696
1198940689,1802
1198940897,1814
1198941108,1684
1198941316,1706
1198941526,1738
1198941742,1722
1198941959,1756
1198942167,1771
1198942377,1731
1198942586,1702
1198942803,1763
1198943018,1812
1198953476,1734
1198953693,1701
1198953903,1807
1198954112,1734
1198954322,1675
1198954530,1767
