t,v,m
344961716,1927,0
344961924,2038,0
344962134,1971,0
344962351,1909,0
344962561,2041,0
344962770,1842,0
344962980,1816,0
344963188,1879,0
344963407,1840,0
344963615,1968,0
344963826,1873,0
344964034,1863,0
344964244,1962,0
344964460,1842,0
344964677,1839,0
344975119,1872,0
344975337,1845,0
344975545,1946,0
344975758,1835,0
344975966,1965,0
344976177,1872,0
344976393,1851,0
344976603,1964,0
344976812,1840,0
344977022,1837,0
344977230,1875,0
344977449,1841,0
344977661,1838,0
344977871,1833,0
344978079,1875,0
344978290,1846,0
344988694,1840,0
344988905,1820,0
344989113,1875,0
344989331,1840,0
344989539,1957,0
344989752,1840,0
344989960,1956,0
344990170,1879,0
344990387,1813,0
344990597,1856,0
344990809,1935,0
344991019,1967,0
344991227,1817,0
344991445,1910,0
344991658,1935,0
345002117,1872,0
345002334,1886,0
345002544,1965,0
345002758,1872,0
345002968,1834,0
345003176,1958,0
345003395,1872,0
345003603,1870,0
345003814,1960,0
345004022,1841,0
345004232,1805,0
345004449,1872,0
345004663,1965,0
345004872,1825,0
345005082,1873,0
345005290,1968,0
345015746,1874,0
345015954,1803,0
345016164,1948,0
345016380,1841,0
345016591,1936,0
345016801,1856,0
345017011,1813,0
345017219,1966,0
345017438,1856,0
345017648,1877,0
345017859,1854,0
345018067,1936,0
345018277,1968,0
345018493,1819,0
345018710,1815,0
345018918,1967,0
345029361,1808,0
345029570,1895,0
345029780,1853,0
345029988,1936,0
345030199,1971,0
345030415,1805,0
345030625,1947,0
345030834,1847,0
345031044,1799,0
345031252,1905,0
345031470,1859,0
345031681,1904,0
345031891,1857,0
345032099,1934,0
345032318,1973,0
345042740,1867,0
345042950,1825,0
345043158,1965,0
345043376,1872,0
345043584,1943,0
345043796,1892,0
345044004,1807,0
345044214,1932,0
345044431,1853,0
345044646,1870,0
345044855,1897,0
345045065,1964,0
345045273,1827,0
345045491,1875,0
345045705,1941,0
345045915,1905,0
345056339,1814,0
345056549,1947,0
345056763,1965,0
345056973,1861,0
345057182,1921,0
345057400,1902,0
345057609,1794,0
345057819,1950,0
345058027,1846,0
345058238,1798,0
345058454,1969,0
345058666,1791,0
345058875,1921,0
345059085,1857,0
345059293,1908,0
345069738,1827,0
345069946,1962,0
345070156,1872,0
345070373,1840,0
345070583,1849,0
345070795,1936,0
345071005,1950,0
345071213,1815,0
345071431,1921,0
345071644,1952,0
345071854,1879,0
345072063,1793,0
345072273,1954,0
345072490,1845,0
345072702,1951,0
345072910,1847,0
345083321,1895,0
345083529,1872,0
345083742,1929,0
345083951,1859,0
345084161,1813,0
345084377,1967,0
345084587,1842,0
345084797,1950,0
345085007,1879,0
345085215,1791,0
345085434,1951,0
345085647,1966,0
345085857,1868,0
345086065,1885,0
345086276,1965,0
345096732,1791,0
345096942,1940,0
345097151,1855,0
345097369,1791,0
345097578,1890,0
345097793,1961,0
345098001,1836,0
345098211,1836,0
345098427,1874,0
345098644,1873,0
345098852,1799,0
345099062,1947,0
345099270,1840,0
345099489,1791,0
345099699,1840,0
345099910,1820,0
345110290,1793,0
345110507,1936,0
345110722,1882,0
345110932,1854,0
345111140,1933,0
345111358,1967,0
345111567,1819,0
345111777,1899,0
345111985,1868,0
345112195,1829,0
345112412,1966,0
345112622,1861,0
345112831,1903,0
345113041,1965,0
345113249,1829,0
345123649,1827,0
345123857,1964,0
345124068,1873,0
345124276,1851,0
345124494,1958,0
345124708,1936,0
345124918,1856,0
345125126,1935,0
345125345,1968,0
345125553,1814,0
345125767,1851,0
345125976,1937,0
345126186,1904,0
345126403,1791,0
345126613,1955,0
345126822,1843,0
345137202,1945,0
345137418,1843,0
345137629,1869,0
345137837,1872,0
345138048,1839,0
345138256,1943,0
345138474,1968,0
345138688,1853,0
345138898,1799,0
345139107,1887,0
345139325,1843,0
345139534,1943,0
345139748,1791,0
345139956,1890,0
345140166,1853,0
345140382,1926,0
345150810,1872,0
345151018,1869,0
345151228,1964,0
345151442,1874,0
345151657,1966,0
345151865,1825,0
345152076,1873,0
345152284,1872,0
345152502,1831,0
345152713,1858,0
345152924,1815,0
345153132,1968,0
345153350,1856,0
345153559,1923,0
345153769,1967,0
345164180,1959,0
345164398,1872,0
345164607,1895,0
345164817,1966,0
345165025,1829,0
345165236,1849,0
345165452,1872,0
345165666,1955,0
345165874,1846,0
345166084,1791,0
345166293,1924,0
345166511,1857,0
345166724,1834,0
345166934,1841,0
345167143,1874,0
345167360,1856,0
345177787,1872,0
