t,v
1515667392,1814
1515667602,1730
1515667818,1731
1515668030,1734
1515668239,1680
1515668449,1806
1515668665,1700
1515668876,1719
1515669089,1776
1515679476,1786
1515679692,1716
1515679902,1671
1515680111,1815
1515680321,1725
1515680529,1751
1515680747,1817
1515680960,1813
1515681170,1729
1515681378,1727
1515681588,1766
1515681803,1727
1515682020,1722
1515682228,1774
1515682439,1816
1515682655,1683
1515693104,1714
1515693312,1782
1515693523,1814
1515693738,1699
1515693953,1722
1515694162,1765
1515694372,1813
1515694580,1694
1515694798,1713
1515695009,1677
1515695220,1767
1515695428,1729
1515695646,1695
1515695854,1808
1515696065,1731
1515696273,1700
1515706712,1731
1515706920,1763
1515707131,1816
1515707339,1689
1515707549,1701
1515707765,1737
1515707978,1747
1515708186,1730
1515708397,1694
1515708605,1808
1515708823,1741
1515709036,1726
1515709247,1687
1515709455,1809
1515709672,1757
1515720098,1671
1515720309,1776
1515720517,1727
1515720735,1679
1515720946,1716
1515721156,1680
1515721364,1811
1515721574,1728
1515721791,1733
1515722006,1679
1515722214,1815
1515722424,1726
1515722640,1751
1515722851,1810
1515723063,1815
1515723273,1731
1515733693,1775
1515733903,1818
1515734111,1683
1515734321,1744
1515734529,1730
1515734748,1689
1515734960,1697
1515735170,1667
1515735378,1741
1515735588,1735
1515735803,1665
1515736020,1697
1515736228,1737
1515736438,1712
1515736654,1767
1515747097,1792
1515747305,1722
1515747515,1680
1515747732,1814
1515747945,1687
1515748153,1738
1515748363,1712
1515748572,1795
1515748790,1814
1515749004,1728
1515749214,1690
1515749422,1812
1515749640,1734
1515749848,1665
1515750063,1697
1515750271,1808
1515760672,1667
1515760880,1725
1515761092,1683
1515761300,1813
1515761510,1734
1515761726,1728
1515761943,1749
1515762151,1733
1515762361,1702
1515762569,1806
1515762788,1741
1515763001,1731
1515763211,1692
1515763419,1808
1515763637,1732
1515774091,1815
1515774301,1728
1515774509,1726
1515774727,1810
1515774940,1811
1515775150,1731
1515775358,1700
1515775569,1809
1515775785,1701
1515775997,1806
1515776205,1712
1515776415,1675
1515776632,1815
1515776842,1725
1515777054,1728
