t,v,m
2240174,1927,0
2240382,1935,0
2240592,1920,0
2240807,1998,0
2241024,2021,0
2241232,1905,0
2241443,1807,0
2241674,1874,0
2241885,1920,0
2242096,1856,0
2242306,1809,0
2242515,1965,0
2242733,1851,0
2242947,1791,0
2253386,1865,0
2253594,1787,0
2253811,1939,0
2254024,1959,0
2254235,1856,0
2254443,1903,0
2254661,1957,0
2254869,1811,0
2255079,1911,0
2255288,1856,0
2255498,1808,0
2255714,1889,0
2255925,1840,0
2256133,1936,0
2256343,1901,0
2256551,1805,0
2266994,1936,0
2267202,1859,0
2267412,1811,0
2267628,1966,0
2267838,1867,0
2268048,1964,0
2268258,1869,0
2268467,1898,0
2268685,1966,0
2268893,1962,0
2269107,1870,0
2269315,1883,0
2269525,1961,0
2269742,1819,0
2269958,1833,0
2280376,1955,0
2280586,1853,0
2280803,1942,0
2281016,1829,0
2281224,1959,0
2281434,1872,0
2281650,1890,0
2281861,1963,0
2282069,1814,0
2282279,1919,0
2282488,1862,0
2282706,1791,0
2282915,1872,0
2283126,1832,0
2283334,1920,0
2283544,1872,0
2293972,1968,0
2294182,1861,0
2294390,1922,0
2294600,1883,0
2294817,1791,0
2295032,1825,0
2295240,1967,0
2295451,1870,0
2295667,1934,0
2295878,1871,0
2296087,1892,0
2296297,1968,0
2296506,1827,0
2296724,1918,0
2296937,1954,0
2307374,1845,0
2307582,1960,0
2307801,1875,0
2308014,1868,0
2308224,1817,0
2308432,1966,0
2308650,1866,0
2308858,1901,0
2309069,1904,0
2309277,1809,0
2309487,1934,0
2309704,1846,0
2309914,1823,0
2310123,1873,0
2310333,1845,0
2310541,1954,0
2320951,1926,0
2321160,1808,0
2321370,1936,0
2321578,1847,0
2321796,1808,0
2322011,1956,0
2322221,1872,0
2322429,1808,0
2322648,1961,0
2322856,1824,0
2323068,1959,0
2323276,1828,0
2323487,1867,0
2323703,1872,0
2323913,1823,0
2334368,1915,0
2334579,1968,0
2334795,1813,0
2335010,1841,0
2335218,1947,0
2335428,1877,0
2335644,1791,0
2335854,1942,0
2336067,1963,0
2336278,1870,0
2336486,1887,0
2336704,1965,0
2336913,1807,0
2337123,1937,0
2337332,1851,0
2337542,1799,0
2347997,1957,0
2348207,1876,0
2348415,1803,0
2348633,1947,0
2348842,1847,0
2349054,1938,0
2349262,1847,0
2349472,1795,0
2349689,1872,0
2349899,1814,0
2350108,1963,0
2350318,1860,0
2350527,1921,0
2350745,1966,0
2350958,1870,0
2351168,1830,0
2361604,1852,0
2361823,1795,0
2362033,1844,0
2362243,1798,0
2362451,1874,0
2362670,1832,0
2362878,1815,0
2363093,1903,0
2363301,1861,0
2363511,1814,0
2363728,1962,0
2363944,1904,0
2364152,1808,0
2364362,1924,0
2364571,1845,0
2374995,1865,0
2375203,1906,0
2375414,1963,0
2375630,1810,0
2375840,1919,0
2376050,1808,0
2376261,1927,0
2376469,1854,0
2376687,1808,0
2376895,1813,0
2377109,1909,0
2377317,1858,0
2377527,1810,0
2377742,1946,0
2377958,1906,0
2378166,1857,0
2388586,1834,0
2388803,1872,0
2389016,1923,0
2389224,1853,0
2389434,1808,0
2389651,1888,0
2389861,1842,0
2390070,1949,0
2390280,1872,0
2390488,1803,0
2390706,1956,0
2390915,1810,0
2391125,1903,0
2391334,1859,0
2391544,1815,0
2401989,1811,0
2402199,1933,0
2402408,1854,0
2402626,1788,0
2402834,1879,0
2403051,1872,0
2403259,1790,0
2403469,1939,0
2403686,1837,0
2403896,1872,0
2404108,1791,0
2404318,1938,0
2404526,1844,0
2404742,1840,0
2404956,1811,0
2405166,1904,0
2415564,1951,0
2415782,1874,0
2415994,1872,0
2416205,1829,0
2416413,1958,0
2416631,1863,0
2416840,1902,0
2417052,1857,0
2417260,1909,0
2417470,1959,0
2417687,1807,0
2417897,1856,0
2418109,1919,0
2418319,1962,0
2418528,1809,0
2428987,1962,0
2429196,1838,0
2429406,1851,0
2429622,1863,0
2429833,1819,0
2430046,1790,0
2430256,1943,0
2430464,1842,0
2430683,1837,0
2430891,1952,0
2431107,1869,0
2431316,1845,0
2431526,1954,0
2431742,1815,0
2431958,1840,0
2432166,1952,0
2442624,1877,0
2442833,1791,0
2443048,1823,0
2443256,1962,0
2443466,1863,0
2443682,1901,0
2443893,1881,0
2444107,1865,0
2444317,1819,0
2444525,1959,0
2444742,1872,0
2444956,1858,0
2445166,1811,0
2445374,1959,0
2445584,1851,0
2445801,1934,0
2456224,1813,0
2456432,1963,0
2456650,1853,0
2456858,1921,0
2457069,1871,0
2457277,1786,0
2457487,1939,0
2457704,1830,0
2457914,1867,0
2458123,1861,0
2458333,1815,0
2458541,1956,0
2458759,1862,0
2458972,1851,0
2459182,1806,0
2469618,1828,0
2469828,1872,0
2470041,1872,0
2470251,1955,0
2470459,1815,0
2470677,1835,0
2470885,1841,0
2471097,1783,0
2471305,1870,0
2471515,1840,0
2471732,1952,0
2471946,1878,0
2472155,1858,0
2472365,1815,0
2472573,1955,0
2472791,1866,0
2483201,1954,0
2483412,1872,0
2483628,1791,0
2483838,1936,0
2484048,1823,0
2484259,1948,0
2484467,1830,0
2484685,1815,0
2484893,1783,0
2485107,1941,0
2485315,1840,0
2485525,1783,0
2485742,1872,0
2485958,1901,0
2486166,1806,0
2496608,1904,0
2496824,1865,0
2497040,1872,0
2497248,1821,0
2497458,1951,0
2497674,1837,0
2497884,1916,0
2498096,1808,0
2498306,1936,0
2498515,1840,0
2498733,1811,0
2498947,1946,0
2499158,1867,0
2499366,1781,0
2499576,1945,0
2499792,1839,0
2510183,1906,0
2510391,1808,0
2510602,1936,0
2510818,1843,0
2511032,1872,0
2511240,1785,0
2511451,1937,0
2511667,1833,0
2511877,1923,0
2512087,1847,0
2512297,1804,0
2512505,1888,0
2512724,1837,0
2512937,1808,0
2513148,1917,0
2523603,1884,0
2523821,1845,0
2524032,1870,0
2524242,1835,0
2524450,1950,0
2524668,1869,0
2524876,1931,0
2525088,1875,0
2525296,1785,0
2525507,1936,0
2525723,1840,0
2525934,1921,0
2526143,1852,0
2526353,1807,0
2526561,1872,0
2526780,1840,0
2537231,1873,0
2537441,1829,0
2537657,1957,0
2537868,1863,0
2538076,1866,0
2538286,1954,0
2538495,1818,0
2538712,1834,0
2538921,1858,0
2539131,1813,0
2539340,1955,0
2539550,1858,0
2539766,1881,0
2539983,1927,0
2540191,1844,0
2540401,1787,0
2550839,1825,0
2551051,1872,0
2551259,1831,0
2551469,1952,0
2551686,1819,0
2551896,1872,0
2552108,1802,0
2552318,1945,0
2552526,1838,0
2552742,1835,0
2552956,1804,0
2553166,1931,0
2553374,1841,0
2553585,1808,0
2553801,1867,0
2564229,1809,0
2564438,1967,0
2564656,1846,0
2564864,1931,0
2565074,1874,0
2565283,1787,0
2565493,1940,0
2565709,1840,0
2565919,1823,0
2566128,1868,0
2566338,1835,0
2566546,1942,0
2566764,1872,0
2566978,1853,0
2567188,1805,0
2567396,1910,0
2577820,1966,0
2578031,1917,0
2578241,1959,0
2578450,1811,0
2578668,1923,0
2578876,1812,0
2579088,1906,0
2579296,1858,0
2579506,1815,0
2579722,1959,0
2579934,1826,0
2580142,1952,0
2580353,1867,0
2580561,1898,0
2580780,1958,0
2591223,1963,0
2591434,1872,0
2591650,1821,0
2591860,1953,0
2592069,1811,0
2592279,1915,0
2592487,1856,0
2592706,1799,0
2592914,1869,0
2593125,1835,0
2593333,1946,0
2593543,1870,0
2593759,1808,0
2593974,1817,0
2594182,1958,0
2594393,1858,0
2604798,1861,0
2605013,1898,0
2605221,1808,0
2605431,1927,0
2605647,1840,0
2605858,1802,0
2606069,1824,0
2606279,1850,0
2606487,1867,0
