t,v
1196809082,1815
1196809290,1730
1196809500,1695
1196809717,1799
1196809928,1714
1196810136,1703
1196810346,1745
1196810554,1725
1196810773,1770
1196810987,1812
1196811198,1735
1196811406,1709
1196811624,1787
1196822018,1814
1196822229,1721
1196822437,1808
1196822655,1712
1196822863,1680
1196823073,1810
1196823281,1739
1196823492,1679
1196823708,1748
1196823918,1730
1196824127,1680
1196824337,1809
1196824546,1739
1196824763,1679
1196824976,1733
1196835442,1751
1196835659,1808
1196835869,1708
1196836077,1655
1196836288,1815
1196836496,1728
1196836715,1735
1196836923,1810
1196837134,1681
1196837342,1713
1196837552,1735
1196837768,1715
1196837981,1776
1196838189,1728
1196838399,1692
1196838616,1795
1196849000,1715
1196849208,1732
1196849419,1665
1196849635,1786
1196849845,1729
1196850059,1696
1196850269,1661
1196850477,1777
1196850696,1730
1196850904,1694
1196851114,1808
1196851322,1739
1196851533,1675
1196851749,1773
1196851962,1728
1196862349,1743
1196862560,1677
1196862776,1774
1196862993,1734
1196863201,1733
1196863411,1658
1196863627,1778
1196863837,1726
1196864047,1694
1196864257,1757
1196864466,1727
1196864684,1728
1196864892,1809
1196865104,1685
1196865312,1681
1196865522,1745
1196875978,1724
1196876188,1729
1196876397,1808
1196876613,1712
1196876822,1713
1196877036,1765
1196877244,1686
1196877454,1812
1196877670,1740
1196877880,1682
1196878092,1738
1196878302,1663
1196878511,1770
1196878729,1732
1196878943,1697
1196879153,1659
1196889586,1773
1196889803,1736
1196890018,1719
1196890228,1674
1196890436,1761
1196890655,1733
1196890863,1700
1196891073,1793
1196891281,1814
1196891491,1687
1196891708,1680
1196891918,1735
1196892127,1707
1196892337,1789
1196892545,1815
1196902976,1701
1196903184,1733
1196903394,1663
1196903603,1790
1196903821,1729
1196904033,1699
1196904244,1698
1196904452,1658
1196904670,1818
1196904878,1728
1196905092,1734
1196905300,1713
1196905510,1766
1196905727,1811
1196905942,1696
1196906151,1724
1196916567,1739
1196916783,1683
1196916996,1763
1196917204,1671
1196917414,1814
1196917631,1733
1196917841,1681
1196918054,1793
1196918264,1810
1196918472,1738
1196918691,1677
1196918899,1763
1196919110,1727
1196919318,1691
1196919528,1808
1196929970,1744
1196930181,1750
1196930389,1811
1196930599,1706
1196930816,1663
1196931028,1791
1196931237,1677
1196931447,1814
1196931663,1734
1196931873,1689
1196932083,1815
1196932293,1695
1196932501,1671
1196932720,1776
1196932933,1724
1196933143,1711
1196943545,1677
1196943763,1739
1196943976,1723
1196944187,1707
1196944395,1664
1196944605,1814
1196944821,1733
1196945036,1670
1196945244,1711
1196945454,1789
1196945670,1815
1196945881,1695
1196946092,1815
1196946302,1685
1196946511,1705
1196956969,1744
1196957177,1728
1196957387,1714
1196957595,1808
1196957813,1722
1196958026,1682
1196958236,1683
1196958444,1706
1196958663,1735
1196958871,1717
1196959083,1812
1196959291,1735
1196959501,1671
1196959717,1757
1196959929,1728
1196960137,1669
1196970527,1813
1196970742,1659
1196970959,1811
1196971167,1813
1196971377,1700
1196971586,1657
1196971803,1813
1196972018,1735
1196972228,1705
1196972436,1675
1196972654,1814
1196972862,1734
1196973073,1665
1196973281,1792
1196973491,1726
1196973708,1689
1196984134,1815
1196984343,1734
1196984553,1663
1196984769,1797
1196984982,1725
1196985190,1772
1196985400,1733
1196985617,1705
1196985827,1809
1196986041,1758
1196986252,1722
1196986460,1684
1196986678,1808
1196986887,1734
1196987103,1712
1196997505,1680
1196997722,1760
1196997933,1737
1196998143,1815
1196998352,1733
1196998562,1665
1196998778,1778
1196998993,1728
1196999201,1813
1196999411,1697
1196999627,1659
1196999838,1744
1197000048,1723
1197000258,1810
1197000466,1737
1197000685,1673
1197011112,1791
1197011322,1706
1197011530,1799
1197011749,1721
1197011960,1683
1197012170,1717
1197012378,1685
1197012588,1810
1197012803,1811
1197013020,1710
1197013228,1711
1197013438,1778
1197013654,1814
1197013864,1712
1197014072,1680
1197024503,1811
1197024719,1712
1197024935,1739
1197025143,1791
1197025354,1685
1197025562,1713
1197025780,1759
1197025993,1728
1197026203,1714
1197026411,1680
1197026629,1810
1197026837,1738
1197027049,1678
1197027258,1813
1197027468,1701
1197027684,1658
1197038094,1739
1197038302,1735
1197038512,1671
1197038729,1755
1197038945,1731
1197039153,1729
1197039363,1659
1197039572,1786
1197039790,1728
1197040004,1694
1197040214,1670
1197040422,1781
1197040640,1730
1197040848,1712
1197041063,1773
1197051497,1679
1197051715,1731
1197051924,1693
1197052135,1815
1197052343,1731
1197052553,1658
1197052769,1798
1197052982,1726
1197053190,1757
1197053400,1734
1197053617,1710
1197053827,1804
1197054041,1814
1197054252,1723
1197054460,1690
1197054678,1808
1197065072,1736
1197065282,1663
1197065490,1792
1197065708,1727
1197065916,1694
1197066127,1810
1197066335,1735
1197066546,1670
1197066762,1775
1197066978,1733
1197067187,1731
1197067397,1695
1197067605,1801
1197067823,1728
1197068036,1693
1197078495,1680
1197078711,1774
1197078922,1730
1197079130,1686
1197079340,1808
1197079549,1759
1197079767,1680
1197079977,1735
1197080188,1690
1197080396,1667
1197080614,1790
1197080822,1727
1197081038,1717
1197081246,1680
1197081457,1747
1197081673,1722
1197092053,1737
1197092261,1739
1197092472,1679
1197092688,1763
1197092898,1734
1197093107,1687
1197093317,1808
1197093525,1748
1197093743,1681
1197093957,1712
1197094167,1786
1197094375,1812
1197094586,1696
1197094802,1680
1197095014,1754
1197105403,1677
1197105620,1699
1197105829,1666
1197106043,1814
1197106252,1781
1197106462,1730
1197106678,1698
1197106889,1809
1197107103,1795
1197107313,1727
1197107521,1689
1197107738,1808
1197107951,1811
1197108161,1814
1197108370,1734
1197108580,1659
1197119031,1798
1197119241,1659
1197119450,1781
1197119668,1730
1197119876,1685
1197120090,1712
1197120298,1679
1197120508,1811
1197120724,1735
1197120939,1670
1197121148,1712
1197121358,1782
1197121566,1811
1197121784,1711
1197121994,1678
1197122204,1723
1197132647,1689
1197132857,1728
1197133066,1693
1197133276,1809
1197133484,1742
1197133703,1679
1197133911,1774
1197134122,1722
1197134330,1689
1197134540,1810
1197134756,1744
1197134972,1684
1197135181,1691
1197135391,1808
1197135599,1806
1197146029,1679
1197146237,1735
1197146448,1659
1197146664,1782
1197146874,1721
1197147088,1731
1197147299,1678
1197147507,1798
1197147725,1723
1197147938,1691
1197148148,1692
1197148356,1661
1197148566,1821
1197148782,1730
1197148995,1698
1197149203,1734
1197159629,1655
1197159837,1712
1197160049,1735
1197160257,1679
1197160467,1812
1197160684,1734
1197160894,1679
1197161105,1735
1197161315,1665
1197161523,1777
1197161741,1731
1197161954,1698
1197162164,1696
1197162372,1659
1197162583,1814
1197173023,1729
1197173234,1755
1197173442,1810
1197173661,1706
1197173869,1658
1197174080,1733
1197174288,1712
1197174498,1778
1197174715,1813
1197174925,1695
1197175134,1739
1197175344,1735
1197175552,1712
1197175770,1744
1197175984,1808
1197176195,1737
1197186598,1714
1197186817,1734
1197187027,1712
1197187238,1741
1197187446,1722
1197187664,1747
1197187873,1814
1197188089,1734
1197188297,1711
1197188507,1782
1197188723,1814
1197188940,1698
1197189148,1699
1197189358,1797
1197189566,1813
1197200022,1681
1197200230,1729
1197200440,1691
1197200656,1803
1197200866,1723
1197201075,1680
1197201285,1813
1197201493,1735
1197201711,1659
1197201920,1777
1197202130,1727
1197202338,1693
1197202548,1803
1197202764,1815
1197202978,1691
1197203187,1735
1197213580,1674
1197213796,1659
1197214011,1815
1197214220,1797
1197214430,1717
1197214646,1691
1197214856,1812
1197215065,1735
1197215275,1659
1197215483,1789
1197215702,1728
1197215910,1687
1197216121,1815
1197216329,1735
1197216539,1655
1197226933,1777
1197227143,1710
1197227351,1674
1197227562,1815
1197227778,1734
1197227992,1663
1197228200,1711
1197228411,1783
1197228627,1814
1197228837,1698
1197229047,1658
1197229257,1728
1197229465,1696
1197229684,1798
1197229892,1759
1197230105,1811
1197240487,1749
1197240705,1731
1197240913,1712
1197241124,1804
1197241332,1814
1197241542,1685
1197241758,1713
1197241973,1744
1197242181,1803
1197242391,1719
1197242600,1685
1197242818,1814
1197243028,1734
1197243239,1807
1197243447,1776
1197253841,1680
1197254054,1671
1197254264,1674
1197254472,1792
1197254691,1722
1197254899,1688
1197255110,1813
1197255318,1733
1197255528,1661
1197255745,1791
1197255959,1719
1197256168,1813
1197256378,1687
1197256586,1695
1197256803,1814
1197257018,1733
1197267399,1694
1197267615,1809
1197267826,1707
1197268036,1674
1197268247,1712
1197268455,1680
1197268673,1813
1197268881,1747
1197269092,1725
1197269300,1807
1197269511,1716
1197269727,1679
1197269942,1815
1197270151,1789
1197270361,1727
1197280748,1694
1197280962,1734
1197281170,1795
1197281380,1724
1197281588,1685
1197281807,1813
1197282020,1735
1197282230,1731
1197282438,1703
1197282657,1799
1197282865,1817
1197283075,1687
1197283283,1680
1197283494,1744
1197283710,1722
1197283920,1771
1197294306,1814
1197294516,1679
1197294733,1738
1197294945,1734
1197295153,1683
1197295364,1750
1197295572,1727
1197295790,1745
1197296004,1810
1197296214,1814
1197296422,1728
1197296640,1721
1197296848,1807
1197297063,1717
1197297271,1814
1197307660,1685
1197307868,1810
1197308079,1692
1197308287,1662
1197308497,1813
1197308713,1728
1197308924,1706
1197309132,1809
1197309342,1712
1197309550,1680
1197309769,1815
1197309979,1735
1197310189,1804
1197310397,1814
1197310613,1683
1197310822,1699
1197321218,1804
1197321426,1729
1197321644,1718
1197321853,1808
1197322064,1712
1197322273,1776
1197322483,1733
1197322699,1708
1197322909,1805
1197323118,1739
1197323328,1677
1197323536,1746
1197323754,1735
1197323968,1715
1197324178,1701
1197334567,1673
1197334785,1661
1197334996,1787
1197335206,1680
1197335414,1737
1197335633,1733
1197335841,1708
1197336054,1799
1197336262,1712
1197336472,1777
1197336689,1814
1197336899,1697
1197337108,1711
1197337318,1742
1197337526,1723
1197337744,1739
1197348125,1813
1197348336,1808
1197348544,1738
1197348762,1674
1197348976,1747
1197349186,1811
1197349395,1734
1197349605,1654
1197349821,1761
1197350035,1733
1197350244,1810
1197350454,1708
1197350670,1675
1197350880,1815
1197351092,1674
1197361478,1781
1197361695,1730
1197361905,1732
1197362114,1810
1197362324,1711
1197362532,1677
1197362750,1814
1197362960,1733
1197363171,1805
1197363379,1815
1197363589,1686
1197363803,1693
1197364020,1806
1197364228,1808
1197364438,1714
1197364654,1679
1197375037,1812
1197375245,1678
1197375455,1815
1197375671,1733
1197375881,1675
1197376092,1735
1197376303,1662
1197376511,1783
1197376729,1730
1197376943,1693
1197377153,1664
1197377362,1778
1197377572,1728
1197377788,1696
1197378003,1801
1197388386,1677
1197388596,1803
1197388813,1739
1197389028,1679
1197389236,1707
1197389446,1792
1197389663,1815
1197389873,1681
1197390083,1807
1197390293,1718
1197390501,1686
1197390719,1808
1197390933,1741
1197391143,1728
1197391351,1694
1197391562,1804
1197402014,1814
1197402225,1743
1197402433,1722
1197402651,1730
1197402859,1808
1197403069,1712
1197403278,1678
1197403488,1813
1197403703,1734
1197403913,1680
1197404122,1785
1197404333,1728
1197404541,1701
1197404758,1795
1197404974,1813
1197405184,1719
1197415630,1684
1197415840,1738
1197416054,1808
