t,v,m
1173862513,1930,0
1173862729,1788,0
1173862945,1776,0
1173863153,1847,0
1173873537,1791,0
1173873752,1687,0
1173873968,1707,0
1173874176,1764,0
1173874386,1712,0
1173874594,1769,0
1173874813,1723,0
1173875026,1719,0
1173875236,1849,0
1173875444,1695,0
1173875663,1842,0
1173875871,1709,0
1173876081,1831,0
1173876289,1726,0
1173876499,1777,0
1173886886,1753,0
1173887097,1849,0
1173887305,1686,0
1173887516,1843,0
1173887732,1698,0
1173887949,1788,0
1173888157,1742,0
1173888367,1727,0
1173888576,1744,0
1173888794,1703,0
1173889007,1797,0
1173889217,1772,0
1173889425,1739,0
1173889643,1846,0
1173889851,1694,0
1173890065,1719,0
1173900444,1748,0
1173900662,1703,0
1173900870,1760,0
1173901080,1711,0
1173901289,1805,0
1173901499,1728,0
1173901715,1847,0
1173901925,1725,0
1173902134,1843,0
1173902344,1742,0
1173902552,1839,0
1173902770,1758,0
1173902982,1753,0
1173903192,1687,0
1173903401,1761,0
1173913797,1767,0
1173914010,1830,0
1173914220,1758,0
1173914428,1806,0
1173914647,1761,0
1173914855,1776,0
1173915070,1702,0
1173915278,1753,0
1173915488,1701,0
1173915704,1760,0
1173915914,1703,0
1173916123,1762,0
1173916333,1714,0
1173916542,1831,0
1173916760,1735,0
1173916974,1801,0
1173927356,1719,0
1173927564,1840,0
1173927782,1729,0
1173927997,1802,0
1173928207,1763,0
1173928415,1771,0
1173928634,1765,0
1173928842,1749,0
1173929054,1742,0
1173929263,1838,0
1173929473,1754,0
1173929689,1826,0
1173929899,1686,0
1173930111,1758,0
1173930321,1705,0
1173940705,1841,0
1173940915,1739,0
1173941123,1840,0
1173941333,1746,0
1173941542,1827,0
1173941760,1759,0
1173941974,1715,0
1173942184,1808,0
1173942392,1730,0
1173942602,1808,0
1173942819,1728,0
1173943034,1744,0
1173943242,1835,0
1173943452,1758,0
1173943669,1824,0
1173943879,1739,0
1173954263,1734,0
1173954473,1846,0
1173954690,1726,0
1173954900,1761,0
1173955110,1792,0
1173955320,1791,0
1173955528,1719,0
1173955744,1775,0
1173955957,1842,0
1173956168,1740,0
1173956376,1840,0
1173956586,1744,0
1173956803,1837,0
1173957017,1802,0
1173957226,1729,0
1173967625,1754,0
1173967833,1817,0
1173968049,1841,0
1173968258,1706,0
1173968468,1834,0
1173968684,1709,0
1173968895,1681,0
1173969109,1758,0
1173969319,1709,0
1173969527,1773,0
1173969744,1745,0
1173969957,1711,0
1173970167,1825,0
1173970376,1715,0
1173970586,1815,0
1173970802,1727,0
1173981245,1814,0
1173981453,1726,0
1173981672,1811,0
1173981880,1840,0
1173982095,1751,0
1173982303,1823,0
1173982513,1760,0
1173982729,1791,0
1173982946,1837,0
1173983154,1716,0
1173983364,1810,0
1173983572,1719,0
1173983791,1791,0
1173984001,1693,0
1173984212,1841,0
1173984420,1706,0
1173994852,1743,0
1173995064,1794,0
1173995275,1774,0
1173995483,1738,0
1173995701,1845,0
1173995909,1729,0
1173996120,1845,0
1173996328,1683,0
1173996538,1840,0
1173996755,1703,0
1173996968,1756,0
1173997176,1814,0
1173997386,1762,0
1173997594,1778,0
1173997813,1812,0
1174008239,1841,0
1174008449,1749,0
1174008666,1834,0
1174008876,1741,0
1174009085,1840,0
1174009295,1747,0
1174009503,1817,0
1174009721,1761,0
1174009930,1829,0
1174010141,1757,0
1174010349,1791,0
1174010559,1762,0
1174010775,1755,0
1174010988,1738,0
1174011196,1840,0
1174011406,1747,0
1174021830,1777,0
1174022044,1703,0
1174022252,1769,0
1174022462,1721,0
1174022678,1845,0
1174022889,1701,0
1174023098,1760,0
1174023309,1712,0
1174023517,1807,0
1174023735,1717,0
1174023949,1770,0
1174024159,1846,0
1174024367,1687,0
1174024578,1843,0
1174024794,1694,0
1174035237,1847,0
1174035445,1693,0
1174035663,1842,0
1174035872,1698,0
1174036082,1840,0
1174036290,1707,0
1174036501,1827,0
1174036717,1711,0
1174036928,1835,0
1174037136,1713,0
1174037346,1814,0
1174037555,1723,0
1174037773,1787,0
1174037984,1694,0
1174038194,1840,0
1174038402,1705,0
1174048812,1830,0
1174049026,1754,0
1174049236,1702,0
1174049445,1760,0
1174049663,1713,0
1174049871,1767,0
1174050082,1719,0
1174050290,1844,0
1174050500,1733,0
1174050717,1844,0
1174050927,1730,0
1174051135,1843,0
1174051346,1744,0
1174051554,1830,0
1174051772,1758,0
1174062231,1754,0
1174062441,1699,0
1174062657,1806,0
1174062867,1726,0
1174063076,1844,0
1174063286,1732,0
1174063494,1840,0
1174063712,1744,0
1174063921,1840,0
1174064132,1744,0
1174064340,1831,0
1174064550,1755,0
1174064766,1799,0
1174064981,1799,0
1174065190,1733,0
1174065400,1747,0
1174075790,1840,0
1174076002,1699,0
1174076211,1759,0
1174076421,1707,0
1174076638,1761,0
1174076848,1712,0
1174077060,1703,0
1174077270,1831,0
1174077478,1715,0
1174077696,1812,0
1174077905,1713,0
1174078115,1810,0
1174078324,1726,0
1174078534,1783,0
1174078751,1731,0
1174089143,1722,0
1174089351,1843,0
1174089561,1725,0
1174089778,1842,0
1174089993,1836,0
1174090201,1712,0
1174090411,1817,0
1174090627,1727,0
1174090837,1787,0
1174091050,1831,0
1174091260,1755,0
1174091469,1808,0
1174091687,1756,0
1174091895,1751,0
1174092109,1691,0
1174092318,1759,0
1174102701,1776,0
1174102909,1765,0
1174103120,1847,0
1174103328,1706,0
1174103538,1843,0
1174103755,1681,0
1174103968,1744,0
1174104176,1831,0
1174104386,1755,0
1174104594,1807,0
1174104812,1762,0
1174105026,1735,0
1174105236,1747,0
1174105444,1744,0
1174105662,1687,0
1174116050,1681,0
1174116260,1840,0
1174116469,1703,0
1174116687,1840,0
1174116896,1841,0
1174117109,1743,0
1174117318,1840,0
1174117528,1746,0
1174117744,1820,0
1174117959,1799,0
1174118167,1729,0
1174118378,1762,0
1174118586,1746,0
1174118804,1683,0
1174119015,1700,0
1174119225,1831,0
1174129608,1742,0
1174129827,1726,0
1174130039,1822,0
1174130250,1758,0
1174130458,1783,0
1174130676,1843,0
1174130884,1814,0
1174131098,1725,0
1174131306,1845,0
1174131516,1730,0
1174131733,1843,0
1174131948,1840,0
1174132156,1703,0
1174132367,1831,0
1174132575,1718,0
1174132793,1807,0
1174143216,1756,0
1174143426,1703,0
1174143642,1764,0
1174143852,1712,0
1174144065,1699,0
1174144275,1839,0
1174144483,1709,0
1174144702,1833,0
1174144910,1705,0
1174145121,1836,0
1174145329,1712,0
1174145540,1808,0
1174145755,1728,0
1174145968,1843,0
1174146176,1686,0
1174156590,1729,0
1174156806,1843,0
1174157020,1727,0
1174157228,1752,0
1174157438,1702,0
1174157654,1760,0
1174157864,1710,0
1174158073,1763,0
1174158283,1718,0
1174158491,1845,0
1174158710,1731,0
1174158918,1843,0
1174159128,1732,0
1174159337,1840,0
1174159547,1744,0
1174159763,1834,0
1174170198,1743,0
1174170406,1831,0
1174170624,1747,0
1174170833,1823,0
1174171045,1713,0
1174171253,1844,0
1174171463,1729,0
1174171680,1842,0
1174171890,1716,0
1174172099,1847,0
1174172310,1727,0
1174172518,1843,0
1174172736,1730,0
1174172949,1711,0
1174173159,1814,0
1174183584,1685,0
1174183803,1837,0
1174184015,1843,0
1174184225,1734,0
1174184434,1840,0
1174184652,1737,0
1174184861,1840,0
1174185071,1745,0
1174185279,1833,0
1174185489,1756,0
1174185706,1822,0
1174185916,1755,0
1174186125,1798,0
1174186335,1775,0
1174186543,1733,0
1174186761,1843,0
1174197176,1734,0
1174197386,1750,0
1174197594,1729,0
1174197813,1746,0
1174198026,1840,0
1174198236,1750,0
1174198444,1825,0
1174198662,1761,0
1174198870,1771,0
1174199081,1844,0
1174199289,1690,0
1174199499,1842,0
1174199715,1699,0
1174199925,1840,0
1174200134,1711,0
1174210583,1775,0
1174210799,1740,0
1174211014,1744,0
1174211223,1835,0
1174211433,1753,0
1174211649,1817,0
1174211859,1760,0
1174212070,1840,0
1174212280,1726,0
1174212489,1843,0
1174212707,1729,0
1174212915,1844,0
1174213126,1725,0
1174213335,1841,0
1174213545,1744,0
1174213761,1836,0
1174224157,1717,0
1174224366,1846,0
1174224576,1718,0
1174224793,1845,0
1174225009,1760,0
1174225218,1808,0
1174225428,1764,0
1174225644,1762,0
1174225854,1844,0
1174226068,1740,0
1174226278,1719,0
1174226486,1749,0
1174226705,1699,0
1174226913,1744,0
1174227124,1702,0
1174237577,1808,0
1174237795,1765,0
1174238009,1700,0
1174238220,1838,0
1174238428,1711,0
1174238646,1819,0
1174238854,1722,0
1174239069,1744,0
1174239277,1837,0
1174239488,1750,0
1174239704,1834,0
1174239914,1749,0
1174240123,1817,0
1174240333,1759,0
1174240541,1788,0
1174240759,1787,0
1174251205,1728,0
1174251416,1774,0
1174251632,1735,0
1174251842,1716,0
1174252052,1711,0
1174252262,1814,0
1174252471,1728,0
1174252689,1802,0
1174252897,1804,0
1174253111,1765,0
1174253319,1759,0
1174253529,1845,0
1174253744,1718,0
1174253959,1722,0
1174254168,1843,0
1174254378,1741,0
1174264813,1743,0
1174265028,1755,0
1174265236,1808,0
1174265446,1762,0
1174265662,1762,0
1174265872,1855,0
1174266081,1729,0
1174266291,1843,0
1174266499,1700,0
1174266718,1840,0
1174266926,1703,0
1174267137,1840,0
1174267345,1710,0
1174267555,1823,0
1174267771,1722,0
1174278204,1703,0
1174278412,1763,0
1174278630,1716,0
1174278838,1844,0
1174279052,1834,0
1174279260,1713,0
1174279471,1811,0
1174279687,1719,0
1174279897,1751,0
1174280109,1821,0
1174280320,1757,0
1174280528,1794,0
1174280744,1808,0
1174280957,1845,0
1174281167,1738,0
1174281375,1840,0
1174291795,1731,0
1174292009,1776,0
1174292219,1788,0
1174292428,1718,0
1174292646,1841,0
1174292854,1705,0
1174293068,1714,0
1174293277,1845,0
1174293487,1728,0
1174293704,1845,0
1174293914,1722,0
1174294123,1845,0
1174294333,1738,0
1174294541,1840,0
1174294759,1751,0
1174305198,1682,0
1174305408,1840,0
1174305624,1695,0
1174305835,1839,0
1174306047,1845,0
1174306257,1731,0
1174306466,1840,0
1174306684,1735,0
1174306892,1729,0
1174307109,1846,0
1174307317,1682,0
1174307527,1840,0
1174307744,1698,0
1174307959,1699,0
1174308167,1759,0
1174308378,1708,0
1174318772,1732,0
1174318985,1843,0
1174319193,1697,0
1174319403,1839,0
1174319612,1706,0
1174319830,1826,0
1174320042,1840,0
1174320252,1744,0
1174320461,1838,0
1174320678,1755,0
1174320887,1840,0
1174321098,1744,0
1174321306,1835,0
1174321517,1750,0
1174321733,1836,0
1174332196,1788,0
1174332404,1739,0
1174332622,1680,0
1174332830,1757,0
1174333044,1847,0
1174333253,1709,0
1174333463,1842,0
1174333679,1701,0
1174333889,1845,0
1174334099,1687,0
1174334309,1840,0
1174334517,1707,0
1174334735,1837,0
1174334949,1761,0
1174335159,1711,0
1174335367,1792,0
1174345754,1719,0
1174345965,1722,0
1174346176,1793,0
1174346384,1739,0
1174346594,1703,0
1174346809,1762,0
1174347026,1747,0
1174347234,1823,0
1174347444,1760,0
1174347660,1769,0
1174347870,1843,0
1174348079,1715,0
1174348289,1841,0
1174348497,1681,0
1174348716,1842,0
1174359103,1842,0
1174359314,1744,0
1174359522,1834,0
1174359740,1756,0
1174359950,1814,0
1174360161,1728,0
1174360369,1841,0
1174360579,1744,0
1174360795,1835,0
1174361011,1843,0
1174361220,1681,0
1174361430,1841,0
1174361646,1703,0
1174361856,1826,0
1174362069,1842,0
1174362279,1742,0
1174372665,1786,0
1174372876,1703,0
1174373085,1763,0
1174373295,1714,0
1174373503,1845,0
1174373722,1722,0
1174373931,1759,0
1174374141,1711,0
1174374349,1807,0
1174374560,1718,0
1174374776,1844,0
1174374993,1757,0
1174375201,1789,0
1174375411,1778,0
1174375627,1707,0
1174386015,1760,0
1174386223,1763,0
1174386433,1840,0
1174386650,1719,0
1174386860,1842,0
1174387070,1803,0
1174387280,1761,0
1174387488,1745,0
1174387706,1790,0
1174387915,1731,0
1174388125,1844,0
1174388333,1680,0
1174388543,1840,0
1174388760,1709,0
1174388976,1721,0
1174389184,1747,0
1174399573,1811,0
1174399789,1723,0
1174400002,1843,0
1174400210,1713,0
1174400420,1842,0
1174400637,1681,0
1174400847,1841,0
1174401060,1844,0
1174401270,1730,0
1174401478,1841,0
1174401696,1739,0
1174401904,1843,0
1174402115,1734,0
1174402324,1840,0
1174402534,1741,0
1174412922,1735,0
1174413133,1717,0
1174413341,1748,0
1174413551,1683,0
1174413767,1758,0
1174413984,1731,0
1174414193,1840,0
1174414403,1744,0
1174414611,1826,0
1174414829,1758,0
1174415042,1725,0
1174415252,1779,0
1174415461,1738,0
1174415678,1684,0
1174415887,1729,0
1174416098,1764,0
1174426480,1843,0
1174426699,1733,0
1174426907,1843,0
1174427118,1730,0
1174427326,1841,0
1174427537,1744,0
1174427753,1834,0
1174427968,1805,0
1174428176,1727,0
1174428386,1766,0
1174428594,1738,0
1174428813,1739,0
1174429026,1831,0
1174429236,1755,0
1174429444,1808,0
1174439834,1713,0
1174440047,1757,0
1174440257,1845,0
1174440466,1697,0
1174440684,1843,0
1174440893,1737,0
1174441109,1743,0
1174441317,1748,0
1174441527,1681,0
1174441744,1747,0
1174441959,1746,0
1174442167,1824,0
1174442378,1759,0
1174442586,1764,0
1174442804,1844,0
1174443015,1843,0
1174453462,1845,0
1174453679,1680,0
1174453889,1774,0
1174454098,1739,0
1174454308,1844,0
1174454517,1680,0
1174454735,1843,0
1174454949,1743,0
1174455159,1690,0
1174455367,1757,0
1174455578,1699,0
1174455794,1758,0
1174456009,1776,0
1174456217,1733,0
1174456427,1843,0
1174456643,1698,0
1174467070,1841,0
1174467278,1698,0
1174467488,1839,0
1174467705,1702,0
1174467915,1840,0
1174468124,1702,0
1174468334,1829,0
1174468542,1718,0
1174468760,1786,0
1174468974,1840,0
1174469184,1742,0
1174469392,1836,0
1174469602,1743,0
1174469819,1837,0
1174470034,1826,0
1174480456,1746,0
1174480675,1734,0
1174480883,1763,0
1174481097,1862,0
1174481305,1682,0
1174481515,1840,0
1174481732,1687,0
1174481949,1776,0
1174482157,1737,0
1174482367,1739,0
1174482576,1743,0
1174482794,1694,0
1174483007,1809,0
1174483217,1761,0
1174483425,1751,0
1174483643,1845,0
1174494048,1774,0
1174494258,1721,0
1174494466,1845,0
1174494685,1731,0
1174494893,1755,0
1174495109,1845,0
1174495317,1681,0
1174495527,1840,0
1174495744,1680,0
1174495959,1698,0
1174496167,1761,0
1174496378,1712,0
1174496586,1778,0
1174496804,1723,0
1174497015,1732,0
1174507455,1731,0
1174507671,1841,0
1174507881,1840,0
1174508094,1703,0
1174508305,1836,0
1174508513,1713,0
1174508731,1809,0
1174508946,1754,0
1174509156,1699,0
1174509365,1761,0
1174509575,1706,0
1174509791,1764,0
1174510004,1785,0
1174510212,1737,0
1174510422,1719,0
1174510638,1751,0
1174521029,1760,0
1174521238,1761,0
1174521448,1827,0
1174521664,1763,0
1174521875,1764,0
1174522083,1770,0
1174522294,1845,0
1174522502,1690,0
1174522720,1845,0
1174522929,1775,0
1174523140,1788,0
1174523348,1717,0
1174523558,1844,0
1174523775,1697,0
1174523987,1759,0
1174534449,1707,0
1174534667,1838,0
1174534876,1694,0
1174535087,1841,0
1174535295,1707,0
1174535505,1831,0
