t,v,m
35385183,1908,0
35385393,1856,0
35385601,1795,0
35385817,1948,0
35396207,1968,0
35396417,1873,0
35396633,1883,0
35396844,1968,0
35397053,1807,0
35397263,1953,0
35397472,1849,0
35397690,1855,0
35397898,1857,0
35398110,1815,0
35398318,1937,0
35398528,1858,0
35398742,1812,0
35398958,1834,0
35399166,1966,0
35409560,1875,0
35409777,1874,0
35409993,1905,0
35410201,1869,0
35410412,1823,0
35410628,1966,0
35410838,1873,0
35411048,1967,0
35411259,1859,0
35411467,1929,0
35411685,1940,0
35411893,1968,0
35412107,1867,0
35412315,1907,0
35412526,1967,0
35412742,1811,0
35423189,1845,0
35423397,1951,0
35423607,1926,0
35423823,1810,0
35424035,1904,0
35424244,1817,0
35424454,1934,0
35424670,1859,0
35424880,1872,0
35425093,1851,0
35425303,1960,0
35425511,1838,0
35425730,1859,0
35425945,1968,0
35426155,1869,0
35426363,1914,0
35436797,1962,0
35437011,1872,0
35437221,1833,0
35437429,1966,0
35437648,1865,0
35437856,1919,0
35438068,1872,0
35438276,1888,0
35438487,1966,0
35438703,1835,0
35438913,1899,0
35439121,1872,0
35439331,1830,0
35439539,1966,0
35439757,1874,0
35450183,1951,0
35450393,1890,0
35450602,1795,0
35450820,1955,0
35451030,1827,0
35451241,1962,0
35451449,1840,0
35451667,1870,0
35451875,1846,0
35452087,1791,0
35452295,1878,0
35452505,1846,0
35452722,1962,0
35452934,1853,0
35453142,1946,0
35453352,1894,0
35463774,1854,0
35463991,1845,0
35464199,1955,0
35464409,1878,0
35464625,1815,0
35464835,1929,0
35465049,1968,0
35465259,1872,0
35465467,1893,0
35465686,1968,0
35465894,1965,0
35466107,1872,0
35466316,1869,0
35466526,1962,0
35466742,1823,0
35477181,1850,0
35477389,1953,0
35477600,1874,0
35477817,1872,0
35478032,1837,0
35478241,1875,0
35478451,1839,0
35478667,1966,0
35478877,1847,0
35479087,1947,0
35479297,1902,0
35479505,1813,0
35479723,1952,0
35479937,1904,0
35480148,1857,0
35480356,1937,0
35490756,1934,0
35490966,1829,0
35491177,1946,0
35491385,1854,0
35491595,1811,0
35491811,1906,0
35492026,1967,0
35492235,1825,0
35492445,1893,0
35492661,1872,0
35492871,1825,0
35493080,1967,0
35493290,1868,0
35493498,1915,0
35493716,1968,0
35504175,1948,0
35504386,1883,0
35504594,1827,0
35504811,1897,0
35505024,1954,0
35505235,1878,0
35505443,1810,0
35505661,1960,0
35505869,1840,0
35506080,1834,0
35506288,1875,0
35506498,1839,0
35506714,1959,0
35506924,1872,0
35507133,1886,0
35507343,1965,0
35517734,1877,0
35517949,1881,0
35518158,1793,0
35518368,1952,0
35518576,1840,0
35518795,1838,0
35519008,1920,0
35519218,1968,0
35519426,1819,0
35519644,1901,0
35519852,1872,0
35520067,1981,0
35520275,1811,0
35520485,1933,0
35520701,1866,0
35531087,1838,0
35531295,1960,0
35531505,1874,0
35531722,1854,0
35531933,1896,0
35532141,1808,0
35532351,1946,0
35532560,1862,0
35532777,1819,0
35532992,1937,0
35533202,1905,0
35533410,1811,0
35533628,1938,0
35533837,1856,0
35534051,1888,0
35534259,1791,0
35544653,1910,0
35544861,1869,0
35545072,1814,0
35545280,1968,0
35545490,1858,0
35545706,1926,0
35545916,1875,0
35546125,1791,0
35546335,1943,0
35546543,1854,0
35546761,1808,0
35546975,1872,0
35547185,1964,0
35547393,1838,0
35547603,1904,0
35557994,1967,0
35558205,1873,0
35558413,1873,0
35558631,1967,0
35558840,1823,0
35559052,1968,0
35559260,1819,0
35559470,1919,0
35559687,1857,0
35559897,1968,0
35560109,1823,0
35560319,1914,0
35560527,1869,0
35560745,1823,0
35560958,1809,0
35561168,1936,0
35571553,1870,0
35571771,1825,0
35571981,1863,0
35572191,1815,0
35572399,1968,0
35572610,1858,0
35572826,1932,0
35573042,1938,0
35573251,1856,0
35573461,1810,0
35573677,1968,0
35573887,1827,0
35574096,1967,0
35574307,1872,0
35574515,1895,0
35584906,1819,0
35585114,1967,0
35585325,1867,0
35585533,1906,0
35585751,1968,0
35585964,1875,0
35586174,1840,0
35586383,1964,0
35586593,1965,0
35586807,1829,0
35587024,1815,0
35587232,1968,0
35587442,1865,0
35587658,1892,0
35587868,1966,0
35588077,1827,0
35598464,1931,0
35598681,1855,0
35598891,1904,0
35599100,1867,0
35599310,1820,0
35599519,1967,0
35599737,1855,0
35599948,1877,0
35600158,1846,0
35600366,1949,0
35600576,1875,0
35600793,1811,0
35601008,1829,0
35601216,1967,0
35601426,1871,0
35611813,1936,0
35612030,1882,0
35612238,1795,0
35612448,1950,0
35612664,1846,0
35612875,1888,0
35613084,1872,0
35613294,1828,0
35613502,1965,0
35613720,1867,0
35613930,1962,0
35614140,1873,0
35614348,1871,0
35614559,1967,0
35614775,1833,0
35614991,1845,0
35625372,1839,0
35625582,1871,0
35625798,1872,0
35626013,1968,0
35626221,1822,0
35626431,1911,0
35626648,1863,0
35626858,1818,0
35627069,1854,0
35627279,1811,0
35627487,1926,0
35627705,1856,0
35627913,1946,0
35628123,1894,0
35628331,1791,0
35638725,1853,0
35638938,1927,0
35639148,1967,0
35639356,1811,0
35639566,1917,0
35639782,1869,0
35639997,1968,0
35640205,1815,0
35640415,1927,0
35640631,1861,0
35640842,1811,0
35641052,1862,0
35641262,1815,0
35641470,1968,0
35641688,1856,0
35641897,1966,0
35652283,1968,0
35652491,1818,0
35652709,1923,0
35652918,1853,0
35653128,1807,0
35653336,1927,0
35653546,1857,0
35653762,1933,0
35653977,1800,0
35654185,1881,0
35654395,1849,0
35654604,1964,0
35654822,1874,0
35655033,1963,0
35655243,1873,0
35665640,1874,0
35665850,1837,0
35666063,1799,0
35666274,1955,0
35666482,1843,0
35666700,1857,0
35666909,1867,0
35667119,1821,0
35667328,1968,0
35667538,1867,0
35667754,1904,0
35667966,1865,0
35668174,1902,0
35668384,1967,0
35668592,1823,0
35668811,1904,0
35679261,1832,0
35679471,1874,0
35679687,1869,0
35679898,1962,0
35680109,1838,0
35680319,1847,0
35680528,1872,0
35680746,1835,0
35680959,1823,0
35681169,1909,0
35681377,1867,0
35681587,1826,0
35681803,1966,0
35682016,1821,0
35682224,1968,0
35682434,1862,0
35692868,1968,0
35693079,1860,0
35693287,1929,0
35693497,1967,0
35693714,1808,0
35693924,1953,0
35694132,1846,0
35694343,1797,0
35694551,1875,0
35694769,1850,0
35694981,1858,0
35695191,1811,0
35695399,1936,0
35695609,1867,0
35695825,1904,0
35706259,1961,0
35706467,1835,0
35706686,1893,0
35706894,1862,0
35707108,1963,0
35707316,1830,0
35707527,1877,0
35707742,1874,0
35707958,1904,0
35708166,1814,0
35708376,1925,0
35708584,1865,0
35708802,1819,0
35709014,1834,0
35709224,1842,0
35709432,1875,0
35719850,1852,0
35720063,1822,0
35720274,1893,0
35720482,1870,0
35720700,1815,0
35720909,1904,0
35721119,1856,0
35721327,1936,0
35721537,1978,0
35721753,1823,0
35721966,1878,0
35722174,1799,0
35722384,1953,0
35722593,1840,0
35722811,1803,0
35733253,1842,0
35733463,1808,0
35733680,1874,0
35733890,1813,0
35734099,1968,0
35734309,1862,0
35734517,1914,0
35734736,1917,0
35734947,1967,0
35735158,1869,0
35735366,1907,0
35735576,1967,0
35735792,1811,0
35736007,1840,0
35736216,1955,0
35736426,1876,0
35746828,1923,0
35747042,1818,0
35747251,1895,0
35747461,1856,0
35747677,1932,0
35747887,1874,0
35748096,1877,0
35748307,1965,0
35748515,1838,0
35748733,1895,0
35748947,1967,0
35749158,1872,0
35749366,1904,0
35749576,1968,0
35749792,1819,0
35760251,1950,0
35760459,1849,0
35760678,1791,0
35760886,1867,0
35761097,1821,0
35761305,1966,0
35761515,1871,0
35761732,1919,0
35761946,1810,0
35762155,1925,0
35762365,1857,0
35762573,1911,0
35762791,1968,0
35763005,1858,0
35763215,1811,0
35763424,1969,0
35773818,1873,0
35774030,1871,0
35774240,1828,0
35774448,1966,0
35774667,1867,0
35774875,1964,0
35775087,1873,0
35775295,1856,0
35775505,1963,0
35775722,1827,0
35775933,1955,0
35776141,1841,0
35776352,1805,0
35776560,1967,0
35776777,1861,0
35776991,1809,0
35787417,1901,0
35787634,1861,0
35787844,1815,0
35788058,1935,0
35788268,1968,0
35788477,1817,0
35788695,1927,0
35788903,1842,0
35789114,1814,0
35789322,1877,0
35789532,1842,0
35789749,1965,0
35789963,1915,0
35790172,1865,0
35790382,1818,0
35800787,1795,0
35801000,1875,0
35801208,1834,0
35801419,1958,0
35801635,1838,0
35801845,1858,0
35802058,1921,0
35802268,1968,0
35802477,1813,0
35802695,1925,0
35802903,1847,0
35803114,1794,0
35803322,1877,0
35803532,1848,0
35803749,1956,0
35803963,1879,0
35814395,1899,0
35814605,1856,0
35814821,1938,0
35815034,1840,0
35815242,1961,0
35815453,1872,0
35815669,1875,0
35815879,1825,0
35816093,1874,0
35816303,1850,0
35816511,1943,0
35816729,1968,0
35816942,1875,0
35817152,1845,0
35817360,1954,0
35827786,1967,0
35827997,1949,0
35828207,1884,0
35828415,1791,0
35828633,1945,0
35828841,1856,0
35829053,1937,0
35829261,1858,0
35829472,1813,0
35829688,1879,0
35829898,1815,0
35830108,1967,0
35830318,1865,0
35830526,1911,0
35830742,1919,0
35830956,1963,0
35841377,1827,0
35841585,1968,0
35841803,1872,0
35842014,1968,0
35842224,1859,0
35842432,1935,0
35842651,1882,0
35842859,1793,0
35843069,1952,0
35843277,1849,0
35843488,1793,0
35843704,1877,0
35843914,1840,0
35844123,1962,0
35844333,1876,0
35854780,1825,0
35854996,1818,0
35855205,1968,0
35855415,1867,0
35855631,1935,0
35855841,1926,0
35856051,1921,0
35856261,1968,0
35856470,1811,0
35856688,1934,0
35856896,1891,0
35857110,1966,0
35857318,1829,0
35857528,1875,0
35857742,1968,0
35857958,1959,0
35868354,1947,0
35868565,1873,0
35868781,1841,0
35868996,1815,0
35869204,1968,0
35869415,1867,0
35869631,1937,0
35869841,1968,0
35870051,1905,0
35870261,1966,0
35870469,1826,0
35870688,1918,0
35870896,1885,0
35871110,1966,0
35871318,1827,0
35881778,1968,0
35881991,1876,0
35882201,1847,0
35882409,1947,0
35882627,1968,0
35882835,1815,0
35883051,1825,0
35883259,1965,0
35883469,1872,0
35883686,1909,0
35883896,1829,0
35884108,1965,0
35884318,1872,0
35884526,1865,0
35884742,1887,0
35884956,1950,0
35895336,1859,0
35895544,1935,0
35895762,1967,0
35895975,1875,0
35896185,1847,0
35896394,1954,0
35896604,1873,0
35896820,1881,0
35897033,1865,0
35897241,1919,0
35897452,1968,0
35897668,1815,0
35897878,1967,0
35898088,1827,0
35898298,1873,0
35908685,1798,0
35908896,1867,0
35909107,1918,0
35909317,1968,0
35909526,1814,0
35909742,1799,0
35909956,1905,0
35910166,1967,0
35910374,1824,0
35910584,1920,0
35910801,1859,0
35911016,1882,0
35911224,1791,0
35911434,1942,0
35911650,1842,0
35911861,1802,0
35922244,1954,0
35922454,1877,0
35922670,1821,0
35922880,1815,0
35923093,1968,0
35923304,1865,0
35923512,1924,0
35923730,1968,0
35923945,1847,0
35924155,1791,0
35924363,1892,0
35924573,1842,0
35924790,1951,0
35925002,1842,0
35925210,1955,0
35935597,1877,0
35935813,1817,0
35936030,1867,0
35936238,1872,0
35936448,1823,0
35936665,1968,0
35936875,1840,0
35937084,1960,0
35937295,1875,0
35937503,1831,0
35937721,1965,0
35937931,1870,0
35938141,1968,0
35938350,1827,0
35938560,1915,0
35938776,1863,0
35949225,1844,0
35949434,1954,0
35949652,1877,0
35949860,1803,0
35950071,1958,0
35950279,1840,0
35950489,1826,0
35950705,1872,0
35950916,1822,0
35951124,1967,0
35951334,1872,0
35951542,1883,0
35951760,1966,0
35951975,1870,0
35952185,1824,0
35952393,1966,0
35962833,1956,0
35963045,1960,0
35963256,1873,0
35963464,1845,0
35963682,1966,0
35963890,1791,0
35964102,1951,0
35964310,1849,0
35964520,1797,0
35964737,1875,0
35964949,1883,0
35965158,1871,0
35965368,1831,0
35965576,1966,0
35965794,1872,0
35976220,1950,0
35976430,1879,0
35976646,1814,0
35976856,1959,0
35977068,1954,0
35977278,1878,0
35977487,1808,0
35977705,1955,0
35977913,1840,0
35978123,1814,0
35978331,1877,0
35978542,1847,0
35978758,1948,0
35978974,1962,0
35979182,1840,0
35979393,1835,0
35989811,1855,0
35990026,1871,0
35990234,1901,0
35990445,1968,0
35990661,1821,0
35990871,1923,0
35991079,1860,0
35991290,1821,0
35991498,1968,0
35991716,1867,0
35991924,1924,0
35992134,1967,0
35992343,1815,0
35992553,1923,0
35992769,1869,0
36003218,1841,0
36003426,1960,0
36003643,1904,0
36003852,1801,0
36004067,1838,0
36004275,1964,0
36004485,1874,0
36004701,1895,0
36004912,1968,0
36005120,1813,0
36005331,1929,0
36005539,1858,0
36005757,1819,0
36005967,1858,0
36006177,1811,0
36006386,1907,0
36016792,1939,0
36017005,1957,0
36017215,1878,0
36017423,1802,0
36017641,1936,0
36017849,1855,0
36018063,1908,0
36018272,1815,0
36018482,1936,0
36018698,1850,0
36018908,1855,0
36019117,1874,0
36019327,1839,0
36019536,1961,0
36019754,1875,0
36030212,1965,0
36030422,1874,0
36030639,1895,0
36030849,1968,0
36031063,1872,0
36031273,1828,0
36031481,1966,0
36031699,1872,0
36031908,1899,0
36032118,1968,0
36032326,1827,0
36032536,1899,0
36032753,1867,0
36032966,1955,0
36033174,1840,0
36033384,1830,0
36043770,1871,0
36043983,1919,0
36044191,1863,0
36044401,1815,0
36044609,1968,0
36044827,1867,0
36045041,1834,0
36045251,1871,0
36045459,1873,0
36045677,1841,0
36045885,1906,0
36046097,1856,0
36046305,1934,0
36046515,1968,0
36046731,1805,0
36057123,1825,0
36057332,1968,0
36057542,1872,0
36057758,1879,0
36057974,1910,0
36058182,1867,0
36058392,1825,0
36058601,1949,0
36058818,1887,0
36059030,1872,0
36059240,1836,0
36059449,1968,0
36059667,1869,0
36059875,1961,0
36060087,1875,0
36060295,1830,0
36070682,1950,0
36070890,1815,0
36071102,1936,0
36071310,1856,0
36071520,1809,0
36071737,1876,0
36071949,1847,0
36072157,1873,0
36072368,1837,0
36072576,1966,0
36072794,1872,0
36073008,1842,0
36073218,1808,0
36073426,1876,0
36073644,1853,0
36084031,1882,0
36084241,1844,0
36084449,1950,0
36084668,1874,0
36084876,1939,0
36085088,1889,0
36085296,1797,0
36085506,1942,0
36085722,1853,0
36085934,1929,0
36086142,1862,0
36086352,1815,0
36086561,1880,0
36086779,1848,0
36086994,1876,0
36087204,1962,0
36097589,1831,0
36097808,1878,0
36098022,1965,0
36098232,1875,0
36098440,1840,0
36098658,1952,0
36098866,1850,0
36099076,1794,0
36099284,1882,0
36099494,1847,0
36099710,1953,0
36099921,1872,0
36100129,1863,0
36100340,1963,0
36100548,1830,0
36110946,1874,0
36111155,1867,0
36111365,1959,0
36111573,1829,0
36111791,1874,0
36112005,1962,0
36112215,1875,0
36112423,1855,0
36112642,1962,0
36112850,1835,0
36113064,1875,0
36113272,1838,0
36113482,1958,0
36113699,1834,0
36113909,1900,0
36114117,1871,0
36124500,1968,0
36124717,1811,0
36124927,1954,0
36125136,1843,0
36125346,1798,0
36125554,1879,0
36125772,1850,0
36125983,1874,0
36126193,1840,0
36126401,1959,0
36126618,1963,0
36126826,1838,0
36127041,1869,0
36127249,1906,0
36127459,1968,0
36137850,1872,0
36138063,1965,0
36138272,1833,0
36138482,1863,0
36138698,1872,0
36138909,1818,0
36139117,1968,0
36139327,1866,0
36139535,1916,0
36139753,1966,0
36139964,1931,0
36140174,1968,0
36140382,1815,0
36140593,1837,0
36140808,1875,0
36141024,1871,0
36151408,1791,0
36151626,1959,0
36151835,1840,0
36152051,1840,0
36152259,1958,0
36152469,1875,0
36152686,1873,0
36152896,1840,0
36153108,1958,0
36153318,1875,0
36153526,1822,0
36153742,1833,0
36153956,1927,0
36154166,1968,0
36154374,1813,0
36164761,1951,0
36164975,1968,0
36165185,1870,0
36165393,1919,0
36165603,1932,0
36165820,1814,0
36166032,1894,0
36166240,1793,0
36166451,1951,0
36166667,1843,0
36166877,1926,0
36167087,1863,0
36167297,1819,0
36167505,1968,0
36167723,1858,0
36167937,1818,0
36178319,1877,0
36178528,1831,0
36178746,1958,0
36178958,1968,0
36179169,1870,0
36179377,1911,0
36179587,1964,0
36179803,1826,0
36180016,1967,0
36180224,1818,0
36180434,1919,0
36180650,1857,0
36180861,1811,0
36181069,1875,0
36181280,1840,0
36191669,1838,0
36191879,1844,0
36192093,1954,0
36192303,1877,0
36192511,1811,0
36192729,1957,0
36192942,1965,0
36193152,1872,0
36193360,1888,0
36193571,1963,0
36193787,1833,0
36193999,1967,0
36194207,1827,0
36194417,1894,0
36194634,1865,0
36194844,1818,0
36205297,1818,0
36205507,1925,0
36205724,1859,0
36205939,1867,0
36206148,1905,0
36206358,1968,0
36206566,1826,0
36206784,1894,0
36206997,1942,0
36207207,1894,0
36207415,1811,0
36207633,1936,0
36207842,1856,0
36208054,1937,0
36208262,1856,0
36208472,1805,0
36218905,1888,0
36219115,1849,0
36219323,1942,0
36219534,1905,0
36219750,1802,0
36219966,1805,0
36220174,1874,0
36220385,1843,0
36220593,1958,0
36220811,1875,0
36221024,1861,0
36221235,1818,0
36221443,1967,0
36221661,1857,0
36221869,1931,0
36232295,1968,0
36232504,1821,0
36232722,1937,0
36232932,1821,0
36233142,1915,0
36233350,1865,0
36233560,1815,0
36233777,1946,0
36233993,1883,0
36234202,1799,0
36234412,1955,0
36234628,1841,0
36234838,1822,0
36235049,1846,0
36235259,1793,0
36235467,1877,0
36245887,1825,0
36246096,1875,0
36246306,1841,0
36246514,1957,0
36246733,1872,0
36246947,1821,0
36247158,1907,0
36247366,1868,0
36247576,1815,0
36247792,1969,0
36248007,1945,0
36248215,1855,0
36248425,1808,0
36248641,1968,0
36248851,1862,0
36259290,1819,0
36259500,1925,0
36259716,1865,0
36259926,1807,0
36260135,1907,0
36260345,1853,0
36260553,1946,0
36260771,1906,0
36260982,1951,0
36261192,1877,0
36261400,1795,0
36261618,1936,0
36261826,1858,0
36262041,1882,0
36262249,1791,0
36262459,1950,0
36272864,1966,0
36273075,1870,0
36273283,1904,0
36273493,1966,0
36273709,1824,0
36273919,1930,0
36274128,1857,0
36274338,1813,0
36274546,1968,0
36274764,1863,0
36274978,1839,0
36275188,1826,0
36275396,1873,0
36275606,1840,0
36275822,1962,0
36286288,1968,0
36286496,1822,0
36286714,1934,0
36286923,1849,0
36287133,1791,0
36287341,1883,0
36287552,1855,0
36287767,1936,0
36287983,1874,0
36288191,1873,0
36288401,1838,0
36288609,1953,0
36288827,1879,0
36289040,1855,0
36289251,1799,0
36289459,1922,0
36299916,1861,0
36300125,1930,0
36300335,1974,0
36300544,1815,0
36300762,1921,0
36300975,1958,0
36301185,1874,0
36301393,1856,0
36301604,1968,0
36301820,1822,0
36302033,1966,0
36302241,1815,0
36302451,1921,0
36302668,1854,0
36302878,1872,0
36303087,1867,0
36313524,1913,0
36313741,1856,0
36313953,1949,0
36314161,1847,0
36314372,1804,0
36314580,1876,0
36314798,1842,0
36315011,1835,0
36315221,1857,0
36315429,1873,0
36315647,1842,0
36315855,1955,0
36316069,1813,0
36316277,1927,0
36316487,1855,0
36326911,1915,0
36327121,1966,0
36327329,1821,0
36327540,1907,0
36327756,1869,0
36327969,1936,0
36328177,1861,0
36328387,1815,0
36328595,1908,0
36328813,1856,0
36329028,1817,0
36329238,1955,0
36329446,1843,0
36329665,1861,0
36329873,1857,0
36330084,1814,0
36340502,1873,0
36340720,1823,0
36340929,1876,0
36341139,1845,0
36341348,1953,0
36341558,1874,0
36341774,1813,0
36341991,1875,0
36342199,1872,0
36342409,1829,0
36342625,1961,0
36342835,1872,0
36343048,1853,0
36343259,1795,0
36343467,1908,0
36353909,1859,0
36354117,1931,0
36354327,1936,0
36354536,1810,0
36354754,1929,0
36354964,1817,0
36355174,1939,0
36355382,1857,0
36355593,1840,0
36355808,1958,0
36356024,1966,0
36356232,1833,0
36356442,1861,0
36356658,1877,0
36356868,1846,0
36357077,1956,0
36367483,1807,0
36367699,1875,0
36367910,1833,0
36368118,1962,0
36368328,1874,0
36368537,1844,0
36368755,1962,0
36368965,1891,0
36369175,1966,0
36369384,1826,0
36369594,1927,0
36369811,1858,0
36370027,1847,0
36370235,1949,0
36370446,1878,0
36380903,1927,0
36381114,1967,0
36381322,1819,0
36381532,1907,0
36381747,1872,0
36381963,1874,0
36382171,1840,0
36382382,1961,0
36382590,1847,0
36382808,1795,0
36383022,1963,0
36383232,1873,0
36383441,1871,0
36383659,1963,0
36383867,1827,0
36384077,1873,0
36394461,1979,0
36394679,1856,0
36394887,1965,0
36395099,1871,0
36395307,1895,0
36395517,1967,0
36395734,1815,0
36395949,1836,0
36396157,1964,0
36396368,1872,0
36396576,1871,0
36396794,1965,0
36397009,1865,0
36397219,1818,0
36397427,1967,0
36397645,1861,0
36408069,1839,0
36408279,1960,0
36408487,1835,0
36408706,1882,0
36408914,1870,0
36409124,1827,0
36409332,1967,0
36409543,1871,0
36409759,1878,0
36409974,1808,0
36410182,1878,0
36410392,1849,0
36410601,1875,0
36410817,1964,0
36411030,1968,0
36421443,1815,0
36421659,1903,0
36421869,1856,0
36422078,1937,0
36422288,1907,0
36422496,1811,0
36422714,1948,0
36422923,1839,0
36423133,1828,0
36423341,1877,0
36423551,1847,0
36423767,1951,0
36423983,1895,0
36424191,1868,0
36424401,1819,0
