t,v
1133156339,1813
1133156548,1738
1133156765,1680
1133156976,1727
1133157187,1687
1133157395,1701
1133157605,1761
1133157821,1732
1133158036,1664
1133158244,1703
1133158454,1791
1133158670,1815
1133158880,1702
1133159092,1818
1133159302,1691
1133169737,1680
1133169953,1812
1133170161,1808
1133170371,1719
1133170580,1683
1133170798,1814
1133171009,1738
1133171220,1813
1133171428,1735
1133171646,1658
1133171854,1767
1133172065,1738
1133172273,1698
1133172483,1798
1133172699,1815
1133183127,1690
1133183336,1687
1133183546,1808
1133183762,1787
1133183978,1687
1133184187,1681
1133184397,1810
1133184605,1741
1133184823,1681
1133185036,1717
1133185247,1774
1133185455,1813
1133185672,1712
1133185881,1687
1133186092,1761
1133186300,1728
1133196718,1715
1133196928,1706
1133197138,1815
1133197347,1735
1133197557,1659
1133197772,1770
1133197989,1737
1133198197,1735
1133198407,1659
1133198623,1769
1133198833,1735
1133199044,1714
1133199254,1744
1133199463,1728
1133199681,1734
1133210121,1803
1133210332,1815
1133210540,1735
1133210758,1659
1133210971,1775
1133211181,1778
1133211389,1814
1133211599,1703
1133211816,1661
1133212029,1828
1133212237,1679
1133212447,1815
1133212664,1735
1133212874,1665
1133213084,1818
1133213294,1697
1133223696,1661
1133223906,1804
1133224115,1831
1133224325,1683
1133224533,1713
1133224751,1743
1133224962,1726
1133225172,1761
1133225381,1728
1133225591,1715
1133225807,1795
1133226022,1728
1133226230,1761
1133226440,1681
1133226657,1726
1133237120,1738
1133237328,1683
1133237538,1813
1133237754,1758
1133237970,1685
1133238178,1705
1133238388,1783
1133238596,1815
1133238813,1726
1133239026,1691
1133239236,1687
1133239445,1687
1133239663,1759
1133239871,1718
1133240083,1810
1133240291,1740
1133250678,1677
1133250886,1715
1133251097,1808
1133251306,1748
1133251516,1680
1133251732,1712
1133251945,1735
1133252153,1715
1133252364,1741
1133252572,1724
1133252790,1747
1133253004,1810
1133253214,1816
1133253422,1733
1133253640,1659
1133264027,1778
1133264237,1741
1133264445,1725
1133264664,1739
1133264872,1810
1133265084,1679
1133265292,1750
1133265502,1736
1133265718,1713
1133265930,1759
1133266138,1742
1133266348,1679
1133266556,1741
1133266775,1734
1133266988,1712
1133267198,1712
1133277585,1679
1133277803,1808
1133278018,1789
1133278228,1718
1133278436,1682
1133278654,1808
1133278862,1759
1133279073,1683
1133279281,1725
1133279491,1741
1133279707,1723
1133279917,1705
1133280125,1809
1133280336,1713
1133280544,1680
1133290943,1811
1133291151,1730
1133291361,1691
1133291569,1801
1133291788,1725
1133292001,1694
1133292211,1680
1133292419,1728
1133292637,1741
1133292845,1729
1133293059,1702
1133293267,1712
1133293478,1778
1133293694,1813
1133293904,1699
1133294113,1674
1133304497,1783
1133304713,1680
1133304924,1815
1133305132,1728
1133305342,1703
1133305551,1796
1133305769,1725
1133305979,1696
1133306189,1735
1133306398,1712
1133306613,1767
1133306822,1698
1133307036,1745
1133307244,1787
1133307454,1731
1133317846,1701
1133318059,1718
1133318268,1808
1133318478,1712
1133318694,1683
1133318904,1814
1133319113,1733
1133319323,1667
1133319532,1789
1133319750,1727
1133319960,1699
1133320170,1739
1133320379,1715
1133320589,1772
1133320803,1743
1133321020,1735
1133331404,1731
1133331623,1738
1133331831,1709
1133332047,1791
1133332255,1702
1133332465,1749
1133332681,1728
1133332891,1751
1133333103,1710
1133333313,1780
1133333522,1815
1133333738,1698
1133333951,1710
1133334162,1694
1133334370,1663
1133344757,1817
1133344970,1812
1133345180,1811
1133345389,1739
1133345599,1676
1133345815,1782
1133346028,1730
1133346236,1728
1133346447,1735
1133346663,1718
1133346873,1786
1133347083,1735
1133347293,1679
1133347501,1751
1133347720,1734
1133347933,1709
1133358316,1683
1133358524,1778
1133358742,1733
1133358957,1705
1133359167,1717
1133359375,1802
1133359586,1725
1133359802,1690
1133360014,1808
1133360222,1714
1133360432,1776
1133360649,1812
1133360859,1706
1133361067,1674
1133361277,1815
1133371665,1733
1133371875,1680
1133372089,1703
1133372299,1797
1133372507,1813
1133372724,1703
1133372937,1680
1133373148,1678
1133373356,1748
1133373566,1734
1133373782,1718
1133373995,1755
1133374203,1721
1133374413,1744
1133374630,1808
1133374840,1711
1133385293,1679
1133385504,1733
1133385720,1708
1133385935,1795
1133386143,1709
1133386354,1743
1133386562,1726
1133386780,1727
1133386993,1805
1133387203,1808
1133387411,1815
1133387630,1681
1133387838,1759
1133388054,1734
1133388262,1765
1133388472,1681
1133398910,1719
1133399121,1687
1133399329,1687
1133399539,1778
1133399755,1728
1133399970,1701
1133400178,1699
1133400388,1797
1133400596,1815
1133400813,1728
1133401026,1697
1133401236,1698
1133401444,1659
1133401662,1815
1133401871,1731
1133412292,1799
1133412500,1764
1133412719,1734
1133412933,1696
1133413143,1697
1133413352,1796
1133413562,1726
1133413778,1699
1133413992,1795
1133414200,1674
1133414411,1815
1133414627,1733
1133414837,1659
1133415047,1777
1133415257,1703
1133415465,1662
1133425883,1815
1133426092,1806
1133426302,1719
1133426511,1683
1133426729,1812
1133426943,1737
1133427153,1717
1133427362,1683
1133427572,1811
1133427788,1737
1133428003,1671
1133428211,1722
1133428421,1741
1133428637,1808
1133428847,1715
1133439286,1683
1133439496,1715
1133439712,1686
1133439923,1818
1133440131,1731
1133440342,1695
1133440550,1799
1133440768,1728
1133440979,1702
1133441189,1734
1133441397,1707
1133441613,1794
1133441822,1772
1133442036,1734
1133442244,1810
1133442455,1714
1133452860,1682
1133453071,1727
1133453279,1692
1133453489,1808
1133453705,1815
1133453915,1691
1133454124,1759
1133454335,1733
1133454543,1712
1133454761,1779
1133454973,1813
1133455184,1812
1133455392,1742
1133455602,1680
1133455818,1727
1133466284,1735
1133466492,1810
1133466711,1715
1133466919,1678
1133467129,1814
1133467337,1735
1133467548,1664
1133467764,1787
1133467979,1730
1133468187,1817
1133468397,1699
1133468605,1667
1133468823,1817
1133469036,1734
1133469246,1731
1133469455,1702
1133479842,1806
1133480054,1745
1133480264,1667
1133480473,1791
1133480691,1731
1133480899,1703
1133481110,1808
1133481318,1766
1133481528,1683
1133481744,1717
1133481959,1735
1133482167,1808
1133482377,1712
1133482586,1681
1133482803,1805
1133493191,1815
1133493401,1696
1133493618,1662
1133493828,1746
1133494041,1728
1133494252,1715
1133494460,1683
1133494678,1810
1133494886,1738
1133495102,1717
1133495311,1682
1133495521,1811
1133495738,1739
1133495953,1658
1133496161,1686
1133496372,1808
1133506750,1750
1133506962,1726
1133507170,1757
1133507380,1735
1133507589,1712
1133507807,1778
1133508020,1812
1133508230,1816
1133508438,1734
1133508656,1663
1133508864,1776
1133509075,1730
1133509283,1701
1133509493,1794
1133509709,1815
1133520103,1690
1133520311,1753
1133520521,1686
1133520738,1711
1133520953,1738
1133521162,1815
1133521372,1691
1133521580,1680
1133521798,1776
1133522009,1730
1133522219,1814
1133522428,1731
1133522646,1680
1133522854,1806
1133523065,1719
1133523273,1679
1133533661,1813
1133533870,1815
1133534081,1677
1133534289,1741
1133534499,1735
1133534716,1714
1133534927,1789
1133535135,1737
1133535345,1675
1133535554,1763
1133535772,1728
1133535987,1701
1133536197,1713
1133536405,1805
1133536624,1721
1133547010,1683
1133547221,1775
1133547429,1814
1133547647,1710
1133547856,1661
1133548066,1814
1133548274,1728
1133548484,1705
1133548701,1802
1133548911,1717
1133549119,1681
1133549330,1813
1133549538,1739
1133549756,1677
1133549970,1744
1133550181,1813
1133560569,1739
1133560787,1660
1133561002,1777
1133561212,1818
1133561420,1738
1133561638,1674
1133561846,1772
1133562060,1733
1133562268,1798
1133562478,1727
1133562695,1694
1133562905,1811
1133563114,1735
1133563324,1661
1133563532,1767
1133573922,1732
1133574130,1696
1133574341,1808
1133574549,1775
1133574767,1679
1133574978,1730
1133575188,1697
1133575396,1661
1133575613,1816
1133575822,1738
1133576038,1675
1133576246,1679
1133576457,1815
1133576673,1735
1133576883,1659
1133577093,1811
1133587480,1712
1133587696,1728
1133587907,1751
1133588115,1813
1133588325,1703
1133588534,1675
1133588752,1817
1133588962,1735
1133589173,1810
1133589381,1760
1133589591,1685
1133589807,1671
1133590022,1770
1133590230,1808
1133590440,1715
1133600829,1683
1133601043,1815
1133601252,1746
1133601462,1735
1133601678,1713
1133601889,1792
1133602103,1751
1133602313,1738
1133602521,1712
1133602738,1785
1133602951,1787
1133603162,1808
1133603370,1777
1133603580,1687
1133603796,1737
1133604011,1743
1133614458,1812
1133614676,1739
1133614884,1806
1133615095,1697
1133615303,1664
1133615514,1817
1133615730,1735
1133615945,1712
1133616153,1690
1133616363,1808
1133616572,1817
1133616790,1683
1133617004,1699
1133617214,1782
1133617422,1811
1133617640,1705
1133628065,1679
1133628276,1748
1133628484,1811
1133628702,1714
1133628911,1675
1133629121,1814
1133629329,1729
1133629539,1678
1133629755,1792
1133629970,1730
1133630179,1815
1133630389,1698
1133630597,1658
1133630813,1785
1133631026,1815
1133641456,1815
1133641672,1731
1133641882,1682
1133642092,1813
1133642302,1703
1133642510,1675
1133642728,1815
1133642941,1731
1133643151,1735
1133643359,1712
1133643569,1765
1133643786,1804
1133643998,1702
1133644206,1808
1133644416,1722
1133644633,1683
1133655047,1814
1133655255,1735
1133655465,1659
1133655682,1776
1133655892,1728
1133656104,1805
1133656314,1722
1133656522,1692
1133656738,1810
1133656951,1781
1133657161,1798
1133657369,1815
1133657579,1700
1133657796,1668
1133658011,1776
1133668450,1808
1133668669,1761
1133668877,1814
1133669091,1799
1133669299,1815
1133669509,1696
1133669725,1661
1133669939,1819
1133670148,1775
1133670358,1735
1133670566,1712
1133670784,1774
1133670995,1811
1133671205,1706
1133671413,1803
1133671631,1728
1133682025,1693
1133682235,1670
1133682443,1792
1133682662,1729
1133682870,1691
1133683081,1815
1133683289,1734
1133683499,1657
1133683716,1774
1133683927,1729
1133684135,1676
1133684346,1815
1133684554,1735
1133684772,1696
1133684987,1797
1133695448,1818
1133695665,1733
1133695875,1725
1133696089,1675
1133696299,1813
1133696507,1737
1133696725,1669
1133696940,1793
1133697150,1753
1133697359,1726
1133697569,1744
1133697786,1812
1133697998,1705
1133698206,1802
1133698416,1728
1133698633,1694
1133709077,1810
1133709285,1813
1133709496,1707
1133709712,1677
1133709922,1814
1133710130,1735
1133710340,1661
1133710549,1777
1133710767,1735
1133710977,1706
1133711188,1737
1133711396,1721
1133711613,1769
1133711822,1805
1133712036,1723
1133712244,1815
1133722692,1696
1133722900,1812
1133723111,1707
1133723319,1675
1133723529,1817
1133723746,1738
1133723962,1686
1133724170,1659
1133724380,1817
1133724588,1737
1133724807,1684
1133725020,1792
1133725230,1808
1133725439,1744
1133725657,1680
1133736071,1747
1133736281,1683
1133736490,1727
1133736708,1738
1133736916,1719
1133737127,1771
1133737335,1814
1133737545,1710
1133737761,1679
1133737976,1815
1133738184,1726
1133738394,1744
1133738602,1728
1133738820,1740
1133739034,1808
1133739244,1815
1133749670,1737
1133749880,1709
1133750092,1814
1133750302,1699
1133750510,1659
1133750728,1817
1133750943,1729
1133751153,1687
1133751361,1697
1133751572,1745
1133751788,1727
1133752003,1734
1133752211,1687
1133752421,1811
1133752637,1754
1133763069,1680
1133763278,1814
1133763488,1710
1133763703,1678
1133763913,1813
1133764122,1732
1133764333,1680
1133764541,1793
1133764759,1728
1133764974,1696
1133765184,1691
1133765392,1794
1133765602,1728
1133765818,1699
1133766030,1799
1133766238,1725
1133776652,1755
1133776861,1811
1133777071,1713
1133777279,1677
1133777489,1814
1133777706,1735
1133777916,1663
1133778125,1807
1133778335,1720
1133778543,1687
1133778761,1808
1133778974,1789
1133779184,1815
1133779392,1733
1133779602,1711
1133790063,1799
1133790274,1680
1133790482,1744
1133790700,1735
1133790908,1711
1133791119,1795
1133791327,1814
1133791537,1693
1133791753,1655
1133791970,1815
1133792178,1818
1133792388,1695
1133792596,1665
1133792813,1808
1133793026,1817
1133793236,1815
1133803630,1729
1133803840,1706
1133804054,1675
1133804264,1754
1133804473,1811
1133804691,1712
1133804899,1680
1133805110,1815
1133805318,1734
1133805528,1658
1133805744,1779
1133805959,1728
1133806167,1814
1133806377,1699
1133806585,1674
1133816975,1815
1133817183,1737
1133817393,1663
1133817602,1776
1133817820,1732
1133818034,1709
1133818244,1677
1133818452,1759
1133818670,1735
1133818879,1715
1133819092,1735
1133819300,1712
1133819511,1782
1133819727,1814
1133819942,1687
1133820150,1728
1133830533,1697
1133830749,1815
1133830962,1712
1133831170,1803
1133831380,1726
1133831588,1696
1133831807,1810
1133832020,1747
1133832230,1735
1133832438,1712
1133832656,1774
1133832864,1810
1133833075,1712
1133833283,1680
1133833493,1815
1133843882,1735
1133844094,1813
1133844302,1738
1133844513,1659
1133844728,1775
1133844945,1733
1133845153,1734
1133845363,1667
1133845572,1774
1133845790,1732
1133846004,1707
1133846214,1683
1133846422,1698
1133846640,1757
1133846848,1733
1133847063,1681
1133857441,1702
1133857659,1674
1133857867,1751
1133858077,1731
1133858285,1705
1133858496,1792
1133858712,1814
1133858922,1706
1133859130,1665
1133859341,1795
1133859549,1731
1133859767,1685
1133859977,1783
1133860187,1680
1133860396,1739
1133870794,1734
1133871006,1712
1133871217,1719
1133871425,1684
1133871642,1810
1133871851,1817
1133872064,1691
1133872272,1823
1133872483,1683
1133872699,1707
1133872909,1738
1133873118,1700
1133873328,1798
1133873537,1813
1133873755,1694
1133873968,1659
1133884352,1693
1133884560,1735
1133884778,1677
1133884993,1751
1133885203,1811
1133885411,1735
1133885629,1678
1133885837,1757
1133886049,1734
1133886258,1664
1133886468,1814
1133886684,1731
1133886894,1684
1133887104,1814
1133887314,1707
1133897701,1677
1133897911,1808
1133898120,1749
1133898330,1680
1133898538,1739
1133898756,1737
1133898971,1717
1133899181,1678
1133899389,1751
1133899599,1737
1133899816,1699
1133900029,1798
1133900237,1718
1133900447,1758
1133900663,1808
1133900874,1707
1133911260,1775
1133911470,1777
1133911686,1813
1133911896,1709
1133912105,1729
1133912315,1743
1133912523,1726
1133912742,1733
1133912954,1808
1133913164,1808
1133913373,1776
1133913583,1683
1133913799,1666
1133914011,1815
1133914220,1677
1133924621,1814
1133924829,1677
1133925044,1789
1133925252,1771
1133925462,1734
1133925678,1711
1133925888,1793
1133926102,1754
1133926313,1734
1133926521,1713
1133926738,1769
1133926951,1794
1133927161,1808
1133927370,1760
1133927580,1685
1133927796,1734
1133938241,1738
1133938450,1723
1133938668,1746
1133938876,1811
1133939090,1793
1133939298,1814
1133939508,1707
1133939724,1677
1133939939,1814
1133940148,1779
1133940358,1733
1133940566,1707
1133940784,1789
1133940995,1815
1133941205,1749
1133941413,1808
1133951849,1716
1133952062,1719
1133952272,1715
1133952480,1680
1133952699,1813
1133952907,1735
1133953118,1683
1133953326,1791
1133953536,1729
1133953752,1699
1133953964,1797
1133954172,1723
1133954383,1744
1133954591,1808
1133954810,1698
1133965236,1659
1133965446,1797
1133965662,1814
1133965872,1696
1133966081,1772
1133966291,1736
1133966500,1710
1133966718,1782
1133966928,1817
1133967138,1680
1133967346,1790
1133967556,1727
1133967773,1682
1133967989,1809
1133968197,1802
1133968407,1727
1133978827,1696
1133979039,1803
1133979247,1714
1133979457,1759
1133979673,1810
1133979884,1717
1133980093,1685
1133980303,1799
1133980511,1728
1133980730,1689
1133980943,1807
1133981153,1810
1133981361,1739
1133981571,1679
1133981788,1756
1133992234,1735
1133992442,1705
1133992660,1791
1133992868,1813
1133993080,1674
1133993288,1763
1133993498,1738
1133993714,1712
1133993925,1791
1133994134,1745
1133994344,1680
1133994552,1734
1133994770,1735
1133994984,1712
1133995194,1681
1133995403,1728
1134005808,1738
1134006023,1725
1134006233,1681
1134006441,1714
1134006659,1743
1134006867,1728
1134007078,1774
1134007286,1813
1134007497,1706
1134007713,1667
1134007924,1815
1134008132,1725
1134008342,1743
1134008550,1808
1134008769,1712
1134019228,1679
1134019438,1809
1134019654,1746
1134019864,1694
1134020072,1671
1134020282,1749
1134020490,1728
1134020709,1734
1134020917,1808
1134021128,1701
1134021336,1673
1134021546,1813
1134021762,1733
1134021978,1658
1134022187,1680
1134022397,1811
1134032786,1735
1134033003,1792
1134033211,1775
1134033421,1733
1134033637,1702
1134033847,1792
1134034060,1815
1134034270,1809
1134034478,1763
1134034696,1683
1134034904,1746
1134035115,1734
1134035323,1710
1134035533,1791
1134035749,1815
1134046139,1707
1134046347,1670
1134046558,1815
1134046774,1725
1134046989,1738
1134047197,1687
1134047408,1810
1134047623,1744
1134047834,1687
1134048044,1679
1134048254,1712
1134048462,1680
1134048681,1813
1134048889,1734
1134049103,1808
1134049311,1728
1134059698,1719
1134059906,1683
1134060116,1813
1134060325,1735
1134060535,1667
1134060751,1765
1134060963,1734
1134061171,1675
1134061381,1815
1134061589,1731
1134061807,1678
1134062020,1749
1134062230,1787
1134062439,1813
1134062656,1699
1134073047,1679
1134073257,1723
1134073465,1685
1134073684,1811
1134073892,1737
1134074105,1808
1134074313,1747
1134074523,1681
1134074738,1740
1134074953,1813
1134075161,1774
1134075372,1733
1134075580,1708
1134075798,1804
1134076009,1815
1134076220,1792
1134086605,1815
1134086823,1774
1134087036,1728
1134087247,1711
1134087455,1677
1134087673,1813
1134087881,1744
1134088092,1710
1134088300,1803
1134088511,1719
1134088727,1686
1134088942,1813
1134089150,1749
1134089360,1735
1134089568,1718
1134099959,1763
1134100167,1821
1134100377,1685
1134100586,1694
1134100803,1814
1134101018,1734
1134101228,1695
1134101436,1671
1134101655,1757
1134101863,1728
1134102073,1730
1134102281,1808
1134102491,1718
1134102708,1685
1134102918,1811
1134103127,1730
1134113516,1666
1134113733,1779
1134113946,1725
1134114154,1765
1134114364,1733
1134114572,1708
1134114791,1797
1134115004,1815
1134115214,1815
1134115422,1732
1134115640,1680
1134115848,1790
1134116063,1728
1134116271,1817
1134116482,1698
1134116698,1661
1134127124,1794
1134127332,1778
1134127542,1735
1134127759,1703
1134127976,1790
1134128184,1803
1134128394,1725
1134128602,1696
1134128820,1806
1134129034,1815
1134129244,1735
1134129452,1721
1134129670,1759
1134129878,1808
1134130092,1767
1134140494,1812
1134140713,1729
1134140921,1691
1134141132,1811
1134141340,1739
1134141550,1678
1134141766,1770
1134141979,1735
1134142187,1661
1134142397,1783
1134142605,1731
1134142823,1661
1134143036,1787
1134143247,1808
1134143455,1788
1134143672,1683
1134154102,1659
1134154312,1727
1134154520,1693
1134154738,1803
1134154951,1814
1134155162,1744
1134155370,1725
1134155580,1725
1134155796,1809
1134156012,1713
